Sec.,PowerMeter(ADC),PowerNvi,GPU-T,GPU-D,CPU-R,CPU-G
4,0.6316673473684212,10568.0,1.0,2.0,4.7,47.699999999999996
5.035714285714286,0.6447224947368422,10913.0,3.0,2.0,7.8,23.500000000000004
6.071428571428571,0.6494720842105262,4016.0,22.0,5.0,1.6,9.4
7.107142857142857,0.6571217578947367,4057.0,4.0,3.0,4.7,16.2
8.142857142857142,0.6234016947368418,4055.0,6.0,3.0,4.7,14.1
9.178571428571429,0.6486319578947367,3916.0,7.0,3.0,4.7,12.5
10.214285714285715,0.6380899473684208,3942.0,7.0,3.0,1.6,12.5
11.250000000000002,0.6266063368421051,4066.0,7.0,3.0,3.1,14.1
12.285714285714288,0.6235103052631578,3986.0,7.0,3.0,4.7,7.7
13.321428571428575,0.6389094736842102,3933.0,7.0,3.0,3.1,14.1
14.357142857142861,0.6455668105263158,3964.0,7.0,3.0,4.6,9.4
15.392857142857148,0.6405123263157898,3984.0,7.0,3.0,0.0,3.1
16.428571428571434,0.6151575789473683,3965.0,7.0,3.0,4.7,11.0
17.46428571428572,0.6305937263157894,3965.0,7.0,3.0,1.6,10.9
18.500000000000004,0.6233491789473684,3881.0,7.0,3.0,3.1,15.7
19.53571428571429,0.6394690315789473,3923.0,7.0,3.0,1.6,6.2
20.571428571428573,0.6347302736842106,4074.0,7.0,3.0,1.6,15.6
21.607142857142858,0.6295583157894739,3974.0,7.0,3.0,4.7,20.3
22.642857142857142,0.6345189157894738,3912.0,7.0,3.0,4.7,20.3
23.678571428571427,0.6276037263157893,3959.0,7.0,3.0,1.6,14.1
24.71428571428571,0.6318268526315789,3903.0,7.0,3.0,0.0,6.2
25.749999999999996,0.6396123368421053,3879.0,7.0,3.0,4.6,7.8
26.78571428571428,0.6517099473684212,3980.0,7.0,3.0,4.7,12.5
27.821428571428566,0.6458539368421052,4019.0,7.0,3.0,1.6,6.2
28.85714285714285,0.6321375368421053,3938.0,7.0,3.0,4.7,1.6
29.892857142857135,0.6330387684210526,3978.0,7.0,3.0,6.2,12.5
30.92857142857142,0.6399409684210525,3994.0,7.0,3.0,18.8,20.3
31.964285714285705,0.6262855578947367,3807.0,7.0,3.0,7.8,14.1
32.99999999999999,0.6431974736842105,3879.0,7.0,3.0,6.2,20.3
34.03571428571428,0.6224649789473684,4096.0,7.0,3.0,3.1,10.8
35.07142857142856,0.6343912210526318,3995.0,7.0,3.0,3.1,12.5
36.10714285714285,0.6433465157894735,4005.0,8.0,3.0,1.6,6.2
37.14285714285713,0.6324218631578948,3958.0,7.0,3.0,3.1,12.3
38.178571428571416,0.6216081789473683,3892.0,7.0,3.0,1.6,12.5
39.2142857142857,0.6223686105263159,3986.0,7.0,3.0,0.0,12.5
40.249999999999986,0.6482521894736845,4054.0,7.0,3.0,3.1,7.9
41.28571428571427,0.6439231368421052,3979.0,7.0,3.0,1.6,6.2
42.321428571428555,0.6321586526315788,3988.0,7.0,3.0,1.6,10.9
43.35714285714284,0.6230912736842104,3980.0,7.0,3.0,0.0,14.1
44.392857142857125,0.6398750736842104,3950.0,7.0,3.0,0.0,10.9
45.42857142857141,0.6378515789473683,3894.0,7.0,3.0,1.6,6.2
46.464285714285694,0.6257843263157893,3987.0,7.0,3.0,4.7,6.2
47.49999999999998,0.6250056315789477,3998.0,7.0,3.0,1.6,6.2
48.53571428571426,0.6279424631578947,3905.0,7.0,3.0,1.6,9.4
49.57142857142855,0.6397497473684212,3954.0,7.0,3.0,3.1,4.7
50.60714285714283,0.6626074421052629,3948.0,7.0,3.0,1.6,14.1
51.64285714285712,0.6279625684210525,3944.0,7.0,3.0,4.7,12.5
52.6785714285714,0.6229194842105261,3961.0,7.0,3.0,1.6,7.800000000000001
53.71428571428569,0.6343280947368419,4054.0,7.0,3.0,0.0,7.8
54.74999999999997,0.6404007684210525,3833.0,7.0,3.0,1.6,14.0
55.785714285714256,0.6352149789473684,3897.0,7.0,3.0,3.1,12.5
56.82142857142854,0.621638610526316,4063.0,7.0,3.0,1.6,9.4
57.857142857142826,0.6428061263157892,3970.0,7.0,3.0,6.2,4.7
58.89285714285711,0.6263721894736842,3928.0,7.0,3.0,0.0,10.9
59.928571428571395,0.6444095684210528,3972.0,7.0,3.0,6.2,18.8
60.96428571428568,0.6208695052631577,3918.0,7.0,3.0,1.6,9.4
61.999999999999964,0.6304376947368424,3893.0,7.0,3.0,4.7,12.5
63.03571428571425,0.6265798842105265,3805.0,7.0,3.0,6.2,12.4
64.07142857142854,0.6247370631578945,3887.0,7.0,3.0,0.0,12.5
65.10714285714283,0.6363070105263161,3918.0,7.0,3.0,1.6,9.4
66.14285714285712,0.6274922105263157,3981.0,7.0,3.0,4.7,10.9
67.17857142857142,0.6344793368421052,4074.0,7.0,3.0,3.1,15.6
68.21428571428571,0.6408631684210526,3900.0,7.0,3.0,1.6,6.2
69.25,0.6606344842105263,3967.0,7.0,3.0,1.6,14.1
70.28571428571429,0.6281283368421053,3999.0,7.0,3.0,4.7,12.6
71.32142857142858,0.6319082315789474,3940.0,7.0,3.0,3.1,14.1
72.35714285714288,0.6391348736842106,3932.0,7.0,3.0,1.6,9.4
73.39285714285717,0.6328720947368419,3907.0,7.0,3.0,9.4,9.4
74.42857142857146,0.6206570631578947,4000.0,7.0,3.0,1.6,9.3
75.46428571428575,0.6384326105263157,3952.0,7.0,3.0,3.1,6.2
76.50000000000004,0.6416723894736843,3942.0,7.0,3.0,7.8,14.100000000000001
77.53571428571433,0.6300214105263156,3871.0,7.0,3.0,3.1,6.2
78.57142857142863,0.6164472631578949,3852.0,7.0,3.0,6.2,7.8
79.60714285714292,0.6388109789473684,3873.0,7.0,3.0,6.2,11.0
80.64285714285721,0.6258638315789474,4019.0,7.0,3.0,0.0,14.1
81.6785714285715,0.6375724842105261,3930.0,7.0,3.0,3.1,9.4
82.7142857142858,0.6238726315789475,3842.0,7.0,3.0,1.6,7.800000000000001
83.75000000000009,0.6213538105263158,3931.0,7.0,3.0,4.7,6.2
84.78571428571438,0.6446060842105266,3986.0,7.0,3.0,4.7,7.9
85.82142857142867,0.6201827157894737,3937.0,7.0,3.0,1.6,10.9
86.85714285714296,0.6327516526315791,3994.0,7.0,3.0,4.7,11.0
87.89285714285725,0.6218942,3927.0,7.0,3.0,3.1,17.2
88.92857142857154,0.6539053999999999,3881.0,7.0,3.0,1.6,10.9
89.96428571428584,0.6422931157894737,3971.0,7.0,3.0,6.2,18.7
91.00000000000013,0.6242568631578949,3969.0,7.0,3.0,3.1,7.699999999999999
92.03571428571442,0.624100084210526,3922.0,6.0,3.0,3.1,6.2
93.07142857142871,0.6294781789473685,3955.0,7.0,3.0,1.6,6.2
94.107142857143,0.6296059473684215,3949.0,7.0,3.0,3.1,4.7
95.1428571428573,0.6383845052631584,3890.0,7.0,3.0,1.6,12.5
96.17857142857159,0.6321298210526315,3986.0,7.0,3.0,1.6,6.2
97.21428571428588,0.6304703473684213,3962.0,7.0,3.0,7.8,21.5
98.25000000000017,0.6215669052631575,3948.0,7.0,3.0,6.2,7.800000000000001
99.28571428571446,0.6382773789473686,3957.0,7.0,3.0,3.1,17.3
100.32142857142875,0.6295041473684211,3988.0,7.0,3.0,3.1,7.800000000000001
101.35714285714305,0.6165393894736839,4089.0,7.0,3.0,4.7,3.1
102.39285714285734,0.646367968421053,3947.0,7.0,3.0,1.6,7.7
103.42857142857163,0.6272760947368419,4053.0,7.0,3.0,4.7,15.7
104.46428571428592,0.632121052631579,4002.0,7.0,3.0,7.8,9.4
105.50000000000021,0.616932105263158,3872.0,7.0,3.0,4.7,15.6
106.5357142857145,0.6302044,3914.0,7.0,3.0,1.6,14.1
107.5714285714288,0.6369881789473683,3963.0,7.0,3.0,6.2,15.6
108.60714285714309,0.6430045999999998,3942.0,7.0,3.0,7.8,7.8
109.64285714285738,0.6330938526315791,3977.0,7.0,3.0,0.0,3.1
110.67857142857167,0.6393581684210529,3884.0,7.0,3.0,4.7,14.0
111.71428571428596,0.6360772210526321,3869.0,7.0,3.0,4.7,7.800000000000001
112.75000000000026,0.6363430000000001,3889.0,7.0,3.0,3.1,7.800000000000001
113.78571428571455,0.6239146421052632,3882.0,6.0,3.0,1.6,10.9
114.82142857142884,0.6280645894736843,3998.0,7.0,3.0,0.0,15.6
115.85714285714313,0.9144978210526316,4036.0,7.0,3.0,4.7,7.800000000000001
116.89285714285742,1.0885550315789467,3935.0,7.0,3.0,1.6,12.5
117.92857142857171,1.054528568421053,3899.0,7.0,3.0,0.0,12.5
118.964285714286,0.7411020631578946,3964.0,7.0,3.0,1.6,10.9
120.0000000000003,0.6525278210526317,10520.0,5.0,2.0,0,0
