Sec.,PowerMeter(ADC),PowerNvi,GPU-T,GPU-D,CPU-R,CPU-G
4,1.3460927234042546,6019.0,10.0,6.0,4.7,21.9
5.035714285714286,0.9548574255319153,10841.0,17.0,9.0,0.0,34.2
6.071428571428571,0.937330521276595,10850.0,3.0,6.0,7.8,16.2
7.107142857142857,0.9299004680851063,10859.0,3.0,6.0,1.6,21.9
8.142857142857142,0.8281707659574471,5576.0,4.0,6.0,0.0,28.2
9.178571428571429,0.6821216702127653,4209.0,13.0,12.0,6.2,26.6
10.214285714285715,0.772355287234042,4310.0,14.0,11.0,6.2,28.200000000000003
11.250000000000002,0.7047686489361703,4324.0,17.0,12.0,4.7,23.4
12.285714285714288,0.7854270000000002,4404.0,18.0,11.0,6.2,34.4
13.321428571428575,0.7408263404255319,4374.0,18.0,11.0,0.0,21.9
14.357142857142861,0.7029532021276594,4381.0,18.0,11.0,3.1,37.5
15.392857142857148,0.6987452021276593,4354.0,18.0,11.0,3.1,23.2
16.428571428571434,0.7453201382978721,4241.0,18.0,11.0,3.1,25.0
17.46428571428572,0.7046217127659572,4278.0,17.0,11.0,1.6,29.7
18.500000000000004,0.7557186595744679,4308.0,18.0,11.0,3.1,21.9
19.53571428571429,0.6839972446808509,4396.0,18.0,10.0,6.2,26.6
20.571428571428573,0.7031706914893614,4286.0,18.0,11.0,6.2,29.7
21.607142857142858,0.7123276382978724,4190.0,17.0,11.0,6.2,26.6
22.642857142857142,0.7023628085106383,4463.0,18.0,10.0,6.2,32.8
23.678571428571427,0.6997889787234043,4365.0,18.0,10.0,1.6,25.0
24.71428571428571,0.7181647234042552,4368.0,18.0,10.0,4.7,29.7
25.749999999999996,0.6849035744680851,4434.0,18.0,11.0,7.8,29.8
26.78571428571428,0.7365797553191485,4286.0,18.0,10.0,1.6,26.6
27.821428571428566,0.6857794787234042,4424.0,18.0,11.0,3.1,28.200000000000003
28.85714285714285,0.7037764468085109,4370.0,17.0,11.0,7.8,34.4
29.892857142857135,0.6963200531914894,4353.0,17.0,12.0,14.1,21.9
30.92857142857142,0.7529191276595742,4348.0,18.0,12.0,3.1,28.1
31.964285714285705,0.7328442021276599,4391.0,17.0,11.0,1.5,32.8
32.99999999999999,0.7070759893617026,4340.0,18.0,11.0,6.2,28.1
34.03571428571428,0.7406130106382977,4322.0,17.0,11.0,6.2,31.3
35.07142857142856,0.6888657872340427,4341.0,18.0,11.0,9.4,26.6
36.10714285714285,0.6905550531914889,4405.0,17.0,11.0,3.1,25.0
37.14285714285713,0.6999819361702125,4370.0,18.0,11.0,7.8,7.8
