Sec.,PowerMeter(ADC),PowerNvi,GPU-T,GPU-D,CPU-R,CPU-G
4,1.0051227659574467,11412.0,5.0,0.0,18.8,63.1
5.035714285714286,0.9615421382978725,10987.0,14.0,0.0,12.5,10.9
6.071428571428571,0.8877864255319147,10980.0,6.0,0.0,25.0,15.7
7.107142857142857,0.6932637978723405,11006.0,3.0,0.0,31.3,15.6
8.142857142857142,0.733255989361702,4313.0,5.0,0.0,20.3,14.1
9.178571428571429,0.7833228617021277,4223.0,12.0,0.0,4.7,13.8
10.214285714285715,0.7168082446808506,4322.0,13.0,0.0,12.5,11.0
11.250000000000002,0.7220996702127663,4341.0,15.0,0.0,4.7,12.5
12.285714285714288,0.7198492021276592,4405.0,17.0,0.0,18.8,20.3
13.321428571428575,0.7419625957446813,4484.0,17.0,0.0,10.9,14.1
14.357142857142861,0.7007428829787236,4525.0,17.0,0.0,34.4,17.2
15.392857142857148,0.6953647446808509,4439.0,17.0,0.0,14.1,21.9
16.428571428571434,0.7134358510638297,4369.0,17.0,0.0,17.2,12.5
17.46428571428572,0.6928579574468088,4505.0,17.0,0.0,26.6,20.3
18.500000000000004,0.7096354361702126,4344.0,17.0,0.0,23.4,21.9
19.53571428571429,0.7425772021276595,4501.0,17.0,0.0,14.1,12.3
20.571428571428573,0.7067354787234048,4527.0,17.0,0.0,10.9,14.1
21.607142857142858,0.71890635106383,4319.0,17.0,0.0,20.3,15.6
22.642857142857142,0.707357989361702,4498.0,17.0,0.0,6.2,14.1
23.678571428571427,0.6774139468085109,4426.0,17.0,0.0,29.7,18.8
24.71428571428571,0.693847829787234,4289.0,17.0,0.0,20.3,21.9
25.749999999999996,0.7118417021276595,4463.0,17.0,0.0,32.8,14.1
26.78571428571428,0.6910488936170216,4413.0,17.0,0.0,21.9,29.7
27.821428571428566,0.7295856382978732,4321.0,17.0,0.0,32.8,21.9
28.85714285714285,0.7011873191489357,4523.0,17.0,0.0,28.1,13.8
29.892857142857135,0.7258922978723406,4274.0,17.0,0.0,37.5,20.4
30.92857142857142,0.706922829787234,4348.0,17.0,0.0,35.9,15.6
31.964285714285705,0.712928957446809,4370.0,17.0,0.0,18.8,14.1
32.99999999999999,0.7450928936170214,4469.0,17.0,0.0,25.0,14.1
34.03571428571428,0.6930228085106386,4472.0,17.0,0.0,15.6,12.5
35.07142857142856,0.7280894148936169,4262.0,17.0,0.0,21.9,23.4
36.10714285714285,0.6874244999999995,4457.0,17.0,0.0,17.2,12.5
37.14285714285713,0.7144864361702132,4390.0,17.0,0.0,17.2,9.4
38.178571428571416,0.7151202021276595,4312.0,17.0,0.0,17.2,14.1
39.2142857142857,0.7467299468085106,4346.0,17.0,0.0,28.1,15.6
40.249999999999986,0.69180314893617,4258.0,17.0,0.0,23.4,21.900000000000002
41.28571428571427,0.7078287978723407,4253.0,17.0,0.0,12.5,17.2
42.321428571428555,0.7007929680851065,4417.0,17.0,0.0,26.6,15.6
43.35714285714284,0.7207240212765956,4439.0,17.0,0.0,32.8,12.5
44.392857142857125,0.700839340425532,4415.0,17.0,0.0,20.3,17.2
45.42857142857141,0.6912488829787231,4267.0,17.0,0.0,12.5,12.5
46.464285714285694,0.7196692553191493,4366.0,17.0,0.0,23.4,23.4
47.49999999999998,0.713661478723404,4547.0,17.0,0.0,20.3,15.6
48.53571428571426,0.7064349999999999,4332.0,17.0,0.0,39.1,17.2
49.57142857142855,0.7181295319148935,4431.0,17.0,0.0,29.7,28.1
50.60714285714283,0.7332097234042549,4339.0,17.0,0.0,9.4,14.1
51.64285714285712,0.7114729574468086,4251.0,17.0,0.0,26.6,17.2
52.6785714285714,0.7093496489361705,4446.0,17.0,0.0,21.9,20.3
53.71428571428569,0.6968177765957448,4299.0,17.0,0.0,15.6,14.1
