Sec.,PowerMeter(ADC),PowerNvi,GPU-T,GPU-D,CPU-R,CPU-G
4,0.6947725473684206,10959.0,3.0,13.0,0.0,45.3
5.035714285714286,0.6768239789473686,5958.0,2.0,14.0,10.9,12.5
6.071428571428571,0.6659054631578943,4464.0,30.0,22.0,0.0,6.2
7.107142857142857,0.6631534842105261,4384.0,11.0,19.0,1.6,13.1
8.142857142857142,0.6565354315789471,4624.0,11.0,18.0,1.6,12.5
9.178571428571429,0.6788822526315791,4579.0,10.0,18.0,3.1,10.9
10.214285714285715,0.6511704210526317,4552.0,10.0,18.0,1.6,14.0
11.250000000000002,0.6525344736842105,4542.0,10.0,18.0,10.9,25.0
12.285714285714288,0.6568903052631577,4347.0,11.0,18.0,0.0,15.6
13.321428571428575,0.6630324421052628,4522.0,10.0,19.0,3.1,14.1
14.357142857142861,0.6961913578947367,4549.0,11.0,19.0,3.1,12.5
15.392857142857148,0.6512093263157894,4540.0,10.0,19.0,1.6,4.7
16.428571428571434,0.6490672526315789,4562.0,11.0,19.0,0.0,6.2
17.46428571428572,0.651365189473684,4561.0,10.0,18.0,3.1,10.9
18.500000000000004,0.6565786315789478,4537.0,11.0,20.0,0.0,12.5
19.53571428571429,0.6805042842105267,4620.0,11.0,23.0,3.1,10.9
20.571428571428573,0.651713210526316,4635.0,11.0,23.0,14.1,23.5
21.607142857142858,0.664443936842105,4703.0,11.0,22.0,0.0,9.4
22.642857142857142,0.6520981684210525,4704.0,11.0,23.0,1.6,15.4
23.678571428571427,0.6705688210526316,4481.0,11.0,23.0,3.1,14.1
24.71428571428571,0.7020024421052633,4394.0,10.0,19.0,6.2,7.8
25.749999999999996,0.6673460631578948,4638.0,10.0,19.0,1.6,7.7
26.78571428571428,0.6759721789473679,4575.0,11.0,20.0,0.0,7.8
27.821428571428566,0.6457020526315788,4509.0,10.0,20.0,1.6,7.8
28.85714285714285,0.6552915894736843,4597.0,11.0,20.0,6.2,4.7
29.892857142857135,0.6560743578947367,4603.0,11.0,20.0,1.6,6.2
30.92857142857142,0.6613566526315788,4353.0,11.0,18.0,26.6,20.3
31.964285714285705,0.6661308421052635,4334.0,11.0,20.0,0.0,9.4
32.99999999999999,0.662975536842105,4620.0,10.0,20.0,3.1,20.3
34.03571428571428,0.6812376421052629,4507.0,10.0,20.0,0.0,10.9
35.07142857142856,0.6595975999999999,4408.0,10.0,19.0,1.6,10.799999999999999
36.10714285714285,0.6512614105263158,4457.0,11.0,18.0,1.6,9.4
37.14285714285713,0.6617501684210526,4462.0,10.0,19.0,1.6,7.8
38.178571428571416,0.6526577263157896,4517.0,10.0,18.0,1.6,12.5
39.2142857142857,0.6622919368421054,4558.0,11.0,19.0,6.2,15.6
40.249999999999986,0.6549076631578944,4549.0,11.0,20.0,15.6,25.0
41.28571428571427,0.6569965578947371,4354.0,11.0,20.0,6.2,21.9
42.321428571428555,0.6427302842105261,4498.0,10.0,21.0,1.6,15.6
43.35714285714284,0.6874731789473684,4515.0,10.0,21.0,3.1,12.5
44.392857142857125,0.6733198736842106,4515.0,11.0,20.0,1.6,9.4
45.42857142857141,0.6650957263157898,4602.0,11.0,20.0,0.0,4.7
46.464285714285694,0.6569612736842104,4498.0,11.0,20.0,1.6,6.2
47.49999999999998,0.6474753578947368,4446.0,11.0,20.0,1.6,14.1
48.53571428571426,0.666018042105263,4358.0,10.0,20.0,0.0,7.8
49.57142857142855,0.6496671789473685,4629.0,10.0,18.0,9.4,26.6
50.60714285714283,0.6608106842105264,4514.0,11.0,18.0,3.1,9.2
51.64285714285712,0.6377759263157895,4546.0,10.0,19.0,3.1,9.4
52.6785714285714,0.6690433157894735,4541.0,10.0,19.0,1.6,9.4
53.71428571428569,0.7037275368421052,4604.0,11.0,19.0,0.0,7.8
54.74999999999997,0.65668592631579,4500.0,11.0,19.0,0.0,7.8
55.785714285714256,0.6444367684210524,4560.0,11.0,19.0,1.6,10.9
56.82142857142854,0.6634116421052636,4549.0,11.0,18.0,6.2,9.4
57.857142857142826,0.6957146947368421,4344.0,10.0,19.0,0.0,9.4
58.89285714285711,0.6954432736842106,4351.0,11.0,19.0,3.1,10.9
59.928571428571395,0.6548375473684211,4469.0,10.0,19.0,20.3,25.0
60.96428571428568,0.6525229157894735,4501.0,10.0,19.0,3.1,14.1
61.999999999999964,0.6519022631578945,4528.0,11.0,20.0,4.7,11.0
63.03571428571425,0.6542310631578948,4637.0,10.0,19.0,1.6,7.8
64.07142857142854,0.7017180842105265,4514.0,11.0,19.0,31.3,9.4
65.10714285714283,0.6576513263157895,4351.0,10.0,19.0,1.6,6.2
66.14285714285712,0.6661772631578948,4489.0,10.0,19.0,1.6,10.9
67.17857142857142,0.6930824842105261,4579.0,10.0,20.0,3.1,4.7
68.21428571428571,0.6538834842105264,4588.0,10.0,21.0,1.6,9.4
69.25,0.668931157894737,4512.0,11.0,22.0,3.1,12.4
70.28571428571429,0.6578985684210527,4519.0,10.0,21.0,10.9,26.6
71.32142857142858,0.649277757894737,4471.0,11.0,20.0,1.6,10.9
72.35714285714288,0.8331198526315791,4541.0,10.0,20.0,7.7,7.7
73.39285714285717,1.054461715789473,4620.0,11.0,20.0,1.6,7.8
74.42857142857146,1.059461463157895,4587.0,11.0,20.0,1.6,15.6
75.46428571428575,0.7670909789473684,4396.0,11.0,20.0,3.1,15.6
76.50000000000004,0.6654101578947369,4375.0,11.0,20.0,1.6,12.5
77.53571428571433,0.6527424421052631,4618.0,11.0,19.0,1.6,17.2
78.57142857142863,0.6585457368421055,4544.0,11.0,19.0,3.1,29.4
79.60714285714292,0.651122842105263,11076.0,11.0,18.0,10.9,10.8
80.64285714285721,0.7050769157894737,10729.0,3.0,12.0,14.1,10.9
81.6785714285715,0.9220411894736849,10772.0,3.0,12.0,0.0,6.2
82.7142857142858,0.808069621052632,5526.0,4.0,15.0,0.0,6.2
83.75000000000009,0.9551385999999996,4418.0,10.0,18.0,3.1,4.7
84.78571428571438,1.2327898947368425,4689.0,11.0,18.0,1.6,9.4
85.82142857142867,1.0406088947368421,4519.0,11.0,18.0,0.0,6.2
86.85714285714296,0.8990531052631577,4606.0,11.0,19.0,1.6,14.1
87.89285714285725,0.723230936842105,5220.0,11.0,19.0,1.6,14.1
88.92857142857154,0.7472426736842107,5273.0,20.0,20.0,0.0,11.0
89.96428571428584,0.675631347368421,5271.0,16.0,19.0,21.9,15.6
91.00000000000013,0.6790267684210525,5335.0,17.0,19.0,6.2,9.4
92.03571428571442,0.7015197789473683,5488.0,24.0,21.0,0.0,10.9
93.07142857142871,0.6861168842105264,5558.0,32.0,20.0,0.0,7.8
94.107142857143,0.6731813473684212,5354.0,38.0,21.0,1.6,6.2
95.1428571428573,0.6689716210526319,5267.0,29.0,20.0,3.1,25.0
96.17857142857159,0.6528691052631576,4592.0,21.0,20.0,1.6,15.6
97.21428571428588,0.6680858210526316,4453.0,11.0,19.0,6.2,18.8
98.25000000000017,0.658459084210526,5286.0,23.0,20.0,7.8,15.6
99.28571428571446,0.6637053368421052,4524.0,40.0,21.0,20.3,18.8
100.32142857142875,0.6444838000000004,4558.0,11.0,20.0,0.0,7.8
101.35714285714305,0.6566393263157896,4742.0,10.0,19.0,3.1,9.4
102.39285714285734,0.6606597789473684,4599.0,11.0,19.0,3.1,6.2
103.42857142857163,0.7071541789473687,4582.0,11.0,20.0,0.0,9.4
104.46428571428592,0.6793137999999997,4490.0,11.0,19.0,1.6,14.1
105.50000000000021,0.6621604526315791,4498.0,11.0,19.0,0.0,9.4
106.5357142857145,0.6589495263157894,4662.0,10.0,19.0,4.7,12.5
107.5714285714288,0.6633724421052632,4523.0,11.0,19.0,1.6,7.8
108.60714285714309,0.6810192105263161,4531.0,10.0,19.0,1.6,3.1
109.64285714285738,0.6472838526315788,4509.0,11.0,19.0,14.1,25.0
110.67857142857167,0.6619492421052628,4636.0,10.0,18.0,1.6,7.8
111.71428571428596,0.6550246210526318,4637.0,11.0,22.0,0.0,7.8
112.75000000000026,0.8842130315789472,4474.0,11.0,20.0,4.7,14.1
113.78571428571455,1.093657831578947,4404.0,11.0,20.0,1.6,9.4
114.82142857142884,1.0642150210526318,4410.0,10.0,20.0,0.0,15.6
115.85714285714313,1.1250834842105264,4642.0,10.0,20.0,6.2,4.7
116.89285714285742,0.6958140631578945,4555.0,10.0,20.0,4.6,7.8
117.92857142857171,0.6375759368421053,4584.0,11.0,20.0,0.0,10.9
118.964285714286,0.680615284210526,4564.0,11.0,20.0,0.0,65.6
120.0000000000003,0.6731173368421056,10884.0,4.0,12.0,0.0,0
