Sec.,PowerMeter(ADC),PowerNvi,GPU-T,GPU-D,CPU-R,CPU-G
4,0.668115157894737,10835.0,3.0,31.0,7.8,42.1
5.035714285714286,0.6702428315789472,5956.0,2.0,22.0,15.6,28.200000000000003
6.071428571428571,0.6875873052631574,4647.0,15.0,32.0,3.1,21.9
7.107142857142857,0.6752618210526319,5074.0,25.0,38.0,4.7,9.4
8.142857142857142,0.7074479789473684,4749.0,9.0,36.0,7.8,17.2
9.178571428571429,0.6610779052631582,4978.0,11.0,36.0,4.7,21.900000000000002
10.214285714285715,0.6899944526315787,4689.0,11.0,36.0,3.1,17.200000000000003
11.250000000000002,0.6871185999999999,4658.0,11.0,35.0,3.1,11.0
12.285714285714288,0.6806786421052631,4874.0,11.0,36.0,6.2,12.5
13.321428571428575,0.660330252631579,4954.0,11.0,35.0,1.6,11.0
14.357142857142861,0.6785580315789471,4954.0,11.0,36.0,1.6,9.4
15.392857142857148,0.6779038736842105,4978.0,11.0,36.0,4.7,9.4
16.428571428571434,0.6859334210526316,4946.0,12.0,36.0,0.0,3.1
17.46428571428572,0.6689566421052628,4742.0,11.0,36.0,1.6,9.4
18.500000000000004,0.6750536315789472,4620.0,11.0,35.0,1.6,12.5
19.53571428571429,0.6835055052631577,4953.0,11.0,35.0,4.7,12.5
20.571428571428573,0.6800325894736843,4862.0,11.0,35.0,6.2,14.1
21.607142857142858,0.687039,4867.0,11.0,35.0,3.1,9.4
22.642857142857142,0.6721351157894735,4348.0,11.0,35.0,4.7,12.5
23.678571428571427,0.6704445999999997,4518.0,11.0,36.0,1.6,10.9
24.71428571428571,0.6847354315789471,4953.0,11.0,35.0,1.6,7.800000000000001
25.749999999999996,0.6868350105263159,4943.0,11.0,35.0,4.7,9.4
26.78571428571428,0.671995147368421,4932.0,11.0,35.0,4.7,14.100000000000001
27.821428571428566,0.6997474105263158,4879.0,11.0,35.0,9.4,12.5
28.85714285714285,0.7165126105263161,4670.0,11.0,35.0,1.6,15.6
29.892857142857135,0.6853438736842105,4677.0,11.0,36.0,3.1,18.7
30.92857142857142,0.6817538947368423,4928.0,11.0,36.0,25.0,23.5
31.964285714285705,0.6647882315789474,4841.0,11.0,36.0,15.6,18.8
32.99999999999999,0.6970870421052632,4850.0,11.0,36.0,6.2,28.1
34.03571428571428,0.6801200526315792,4862.0,11.0,35.0,3.1,14.1
35.07142857142856,0.6891706105263161,4784.0,11.0,35.0,1.6,10.9
36.10714285714285,0.6751712105263153,4655.0,11.0,36.0,4.7,12.5
37.14285714285713,0.6924820842105263,4821.0,11.0,36.0,4.7,12.5
38.178571428571416,0.6870017578947365,5009.0,11.0,36.0,6.2,9.3
39.2142857142857,0.6757218631578946,4780.0,11.0,37.0,4.7,15.700000000000001
40.249999999999986,0.6681567789473684,4883.0,11.0,35.0,7.8,20.3
41.28571428571427,0.6858271263157896,4615.0,11.0,35.0,3.1,15.7
42.321428571428555,0.685665252631579,4576.0,11.0,35.0,6.2,17.2
43.35714285714284,0.6676752210526313,4465.0,11.0,35.0,6.2,15.7
44.392857142857125,0.668219894736842,4606.0,11.0,36.0,3.1,14.0
45.42857142857141,0.687283347368421,5026.0,11.0,35.0,4.7,10.9
46.464285714285694,0.6685361999999998,5173.0,11.0,36.0,4.7,6.300000000000001
47.49999999999998,0.6782279999999999,4692.0,11.0,35.0,3.1,7.800000000000001
48.53571428571426,0.6866838000000002,5537.0,11.0,35.0,6.2,6.2
49.57142857142855,0.6685310000000001,4879.0,11.0,35.0,4.6,6.300000000000001
50.60714285714283,0.6721962421052632,4940.0,10.0,35.0,6.2,6.300000000000001
51.64285714285712,0.6700630526315788,4973.0,11.0,35.0,4.7,15.600000000000001
52.6785714285714,0.6800066736842106,5041.0,11.0,36.0,3.1,17.2
53.71428571428569,0.669024063157895,4638.0,11.0,35.0,1.6,18.7
54.74999999999997,0.6859279789473688,4678.0,11.0,35.0,3.1,12.5
55.785714285714256,0.6833359894736841,4911.0,11.0,35.0,6.2,15.4
56.82142857142854,0.6915660736842106,4811.0,11.0,35.0,12.5,11.0
57.857142857142826,0.6599236315789477,4730.0,11.0,35.0,0.0,7.8
58.89285714285711,0.6719800421052629,4961.0,11.0,35.0,1.6,7.8
59.928571428571395,0.6969165368421055,4764.0,11.0,35.0,4.7,12.5
60.96428571428568,0.6952580315789476,4583.0,11.0,35.0,1.5,7.8
61.999999999999964,0.6770144526315787,4717.0,11.0,35.0,3.1,15.600000000000001
63.03571428571425,0.6811022526315789,4466.0,11.0,35.0,4.7,11.0
64.07142857142854,0.6779200421052629,4348.0,11.0,35.0,4.7,15.7
65.10714285714283,0.6971830947368418,5000.0,11.0,35.0,3.1,17.2
66.14285714285712,0.6915506421052628,4990.0,11.0,35.0,3.1,12.5
67.17857142857142,0.6788991789473683,4571.0,11.0,36.0,23.4,15.7
68.21428571428571,0.6815144842105261,4734.0,11.0,35.0,4.7,14.1
69.25,0.7090441157894739,4896.0,11.0,35.0,3.1,15.600000000000001
70.28571428571429,0.6894776842105262,4577.0,11.0,34.0,6.2,10.9
