Sec.,PowerMeter(ADC),PowerNvi,GPU-T,GPU-D,CPU-R,CPU-G
4,0.7272278842105265,10549.0,2.0,1.0,10.9,46.9
5.035714285714286,0.6393323263157898,5557.0,1.0,1.0,4.7,26.599999999999998
6.071428571428571,0.6034555263157892,3833.0,20.0,3.0,3.1,15.600000000000001
7.107142857142857,0.6201259157894736,4053.0,14.0,2.0,1.6,4.7
8.142857142857142,0.644037694736842,3865.0,7.0,2.0,3.1,15.6
9.178571428571429,0.6453212947368421,3915.0,7.0,2.0,3.1,7.800000000000001
10.214285714285715,0.6250776736842105,3957.0,6.0,2.0,4.6,18.8
11.250000000000002,0.6190468947368419,3914.0,7.0,2.0,0.0,14.1
12.285714285714288,0.6280508105263162,3833.0,6.0,2.0,6.300000000000001,20.4
13.321428571428575,0.6370045052631578,3796.0,7.0,2.0,0.0,15.6
14.357142857142861,0.6322647578947368,3927.0,7.0,2.0,3.1,9.4
15.392857142857148,0.610016357894737,3824.0,7.0,2.0,0.0,4.7
16.428571428571434,0.6224548842105267,3881.0,7.0,2.0,1.6,11.0
17.46428571428572,0.6177179368421056,3902.0,7.0,2.0,0.0,6.2
18.500000000000004,0.6129259052631579,3816.0,7.0,2.0,3.1,9.4
19.53571428571429,0.620841105263158,3871.0,6.0,2.0,1.6,9.4
20.571428571428573,0.6202692842105266,3922.0,6.0,2.0,1.5,15.6
21.607142857142858,0.6232183368421049,3804.0,7.0,2.0,1.6,17.2
22.642857142857142,0.6122507578947372,3810.0,6.0,2.0,0.0,6.2
23.678571428571427,0.6024944210526317,3829.0,6.0,2.0,1.6,10.9
24.71428571428571,0.6360498842105261,3813.0,7.0,2.0,4.7,11.0
25.749999999999996,0.6163250315789474,3872.0,7.0,2.0,4.7,12.5
26.78571428571428,0.6205201052631577,3921.0,7.0,2.0,0.0,4.7
27.821428571428566,0.6124121789473682,3962.0,7.0,2.0,1.6,9.4
28.85714285714285,0.6315287473684211,3935.0,6.0,2.0,3.1,7.8
