Sec.,PowerMeter(ADC),PowerNvi,GPU-T,GPU-D,CPU-R,CPU-G
4,0.9085962947368422,10729.0,3.0,4.0,1.6,65.6
5.035714285714286,0.9733421894736844,11090.0,3.0,4.0,4.7,84.3
6.071428571428571,1.0023759263157894,10714.0,8.0,4.0,6.2,25.0
7.107142857142857,0.912193115789474,10757.0,6.0,4.0,3.1,20.3
8.142857142857142,0.8876397578947366,10717.0,3.0,4.0,4.7,25.0
9.178571428571429,0.8784586421052629,5453.0,3.0,4.0,1.6,28.1
10.214285714285715,0.6925491368421053,4050.0,7.0,6.0,4.7,34.3
11.250000000000002,0.663136010526316,4121.0,11.0,7.0,6.2,31.3
12.285714285714288,0.6554613368421053,4104.0,14.0,8.0,7.8,34.4
13.321428571428575,0.644988052631579,4328.0,16.0,7.0,3.1,25.0
14.357142857142861,0.664102168421053,4308.0,16.0,6.0,0.0,39.1
15.392857142857148,0.6395965894736841,4253.0,16.0,6.0,4.7,42.2
16.428571428571434,0.6539112631578945,4128.0,16.0,6.0,3.1,35.9
17.46428571428572,0.6607428947368422,4188.0,16.0,6.0,7.8,37.5
18.500000000000004,0.6550242210526318,4138.0,15.0,6.0,6.2,32.8
19.53571428571429,0.6625252105263161,4178.0,15.0,6.0,1.6,37.5
20.571428571428573,0.6289167894736841,4183.0,15.0,6.0,0.0,40.6
21.607142857142858,0.6501540947368422,4140.0,15.0,6.0,1.6,39.1
22.642857142857142,0.6704696947368419,4182.0,15.0,6.0,3.1,37.5
23.678571428571427,0.6672337263157893,4243.0,15.0,6.0,4.7,43.8
24.71428571428571,0.667822094736842,4172.0,15.0,6.0,10.9,26.6
25.749999999999996,0.6413522526315788,4152.0,15.0,6.0,1.6,34.4
26.78571428571428,0.654840305263158,4241.0,15.0,6.0,1.6,35.9
27.821428571428566,0.6512133157894737,4208.0,15.0,6.0,3.1,34.4
28.85714285714285,0.6553758526315789,4103.0,15.0,6.0,3.1,32.9
29.892857142857135,0.6340669368421055,4100.0,15.0,7.0,1.6,21.9
30.92857142857142,0.6408600631578946,4040.0,16.0,7.0,9.4,37.5
31.964285714285705,0.6829630842105261,4067.0,15.0,7.0,3.1,28.1
32.99999999999999,0.6492454526315788,4076.0,16.0,7.0,3.1,35.9
34.03571428571428,0.6473908315789472,4223.0,15.0,7.0,1.6,32.9
35.07142857142856,0.6413518421052634,4098.0,16.0,7.0,14.1,28.1
36.10714285714285,0.6445768421052629,4120.0,16.0,7.0,4.7,29.7
