Sec.,PowerMeter(ADC),PowerNvi,GPU-T,GPU-D,CPU-R,CPU-G
4,0.7282608000000002,5339.0,2.0,0.0,46.9,32.4
5.035714285714286,0.6676746842105261,4764.0,28.0,0.0,51.6,10.9
6.071428571428571,0.6443658526315791,4005.0,11.0,0.0,39.1,6.2
7.107142857142857,0.6456899368421054,4068.0,6.0,0.0,28.1,6.2
8.142857142857142,0.6488404315789472,3920.0,9.0,0.0,28.1,10.9
9.178571428571429,0.6754137578947368,4082.0,9.0,0.0,36.9,12.5
10.214285714285715,0.6774980421052629,3935.0,9.0,0.0,28.1,9.4
11.250000000000002,0.642706905263158,3995.0,9.0,0.0,37.5,9.4
12.285714285714288,0.6267061789473685,4044.0,9.0,0.0,23.4,9.4
13.321428571428575,0.6520349157894738,3981.0,10.0,0.0,20.3,7.8
14.357142857142861,0.6379018210526314,4037.0,9.0,0.0,1.6,7.8
15.392857142857148,0.624397757894737,4137.0,9.0,0.0,6.2,9.4
16.428571428571434,0.6518476315789475,3938.0,9.0,0.0,15.6,6.2
17.46428571428572,0.6316351052631576,3959.0,9.0,0.0,28.1,3.1
18.500000000000004,0.6362793894736843,4075.0,10.0,0.0,18.8,4.7
19.53571428571429,0.626857452631579,4021.0,10.0,0.0,13.8,3.1
20.571428571428573,0.6346849368421047,4068.0,9.0,0.0,21.9,9.2
21.607142857142858,0.6112651789473683,4053.0,9.0,0.0,23.4,11.0
22.642857142857142,0.6396209052631578,3939.0,9.0,0.0,25.0,7.8
23.678571428571427,0.6390747578947368,4148.0,9.0,0.0,15.6,14.100000000000001
24.71428571428571,0.6780516947368418,3966.0,10.0,0.0,17.2,4.7
25.749999999999996,0.6377163157894737,3974.0,9.0,0.0,29.7,6.2
26.78571428571428,0.6515551684210524,4020.0,9.0,0.0,35.9,7.8
27.821428571428566,0.6494236631578947,4037.0,9.0,0.0,46.2,9.4
28.85714285714285,0.6570195368421053,4015.0,9.0,0.0,46.9,6.2
29.892857142857135,0.6590454631578947,4009.0,9.0,0.0,51.6,6.2
30.92857142857142,0.6644174210526318,3981.0,10.0,0.0,40.6,3.1
31.964285714285705,0.6635922210526314,3942.0,9.0,0.0,54.7,7.699999999999999
32.99999999999999,0.6888287999999999,4064.0,9.0,0.0,48.4,20.3
34.03571428571428,0.657088842105263,3959.0,9.0,0.0,39.1,14.1
35.07142857142856,0.6453949368421051,3983.0,9.0,0.0,34.4,10.9
36.10714285714285,0.6476975473684206,4052.0,9.0,0.0,40.6,9.4
37.14285714285713,0.6398096631578942,4027.0,9.0,0.0,31.3,6.2
38.178571428571416,0.6720955894736843,4054.0,9.0,0.0,17.2,6.2
39.2142857142857,0.6277824105263158,4048.0,9.0,0.0,35.9,6.2
40.249999999999986,0.6626553789473685,3996.0,9.0,0.0,35.9,1.6
41.28571428571427,0.6552435473684214,3990.0,9.0,0.0,33.9,1.6
42.321428571428555,0.6589746842105261,4068.0,9.0,0.0,25.0,3.1
43.35714285714284,0.6420155999999999,4029.0,9.0,0.0,23.4,7.8
44.392857142857125,0.6299339473684212,4029.0,9.0,0.0,34.4,12.5
45.42857142857141,0.6498004315789474,3973.0,9.0,0.0,29.7,12.5
46.464285714285694,0.6417035473684208,4000.0,9.0,0.0,31.3,6.2
47.49999999999998,0.6516673052631577,4061.0,9.0,0.0,37.5,10.9
48.53571428571426,0.6641444421052636,4113.0,10.0,0.0,28.1,7.8
49.57142857142855,0.6585051052631579,3979.0,9.0,0.0,29.7,7.8
50.60714285714283,0.6548621368421055,4083.0,9.0,0.0,33.9,1.6
51.64285714285712,0.6452202421052635,3964.0,9.0,0.0,43.8,3.1
52.6785714285714,0.639854136842105,3996.0,9.0,0.0,39.1,1.5
53.71428571428569,0.639847842105263,4183.0,9.0,0.0,26.6,4.6
54.74999999999997,0.6455735578947367,4129.0,9.0,0.0,31.3,9.4
55.785714285714256,0.6747496947368421,4079.0,9.0,0.0,43.8,7.800000000000001
56.82142857142854,0.6428487368421054,4223.0,10.0,0.0,35.9,6.2
57.857142857142826,0.6442857789473684,3952.0,9.0,0.0,31.3,7.8
58.89285714285711,0.6387770421052634,3937.0,9.0,0.0,31.3,9.4
59.928571428571395,0.6563310421052637,4051.0,9.0,0.0,21.9,10.9
60.96428571428568,0.6452855578947364,3999.0,9.0,0.0,48.4,9.4
61.999999999999964,0.6814503894736841,4052.0,9.0,0.0,31.3,3.1
63.03571428571425,0.6376367473684215,4120.0,9.0,0.0,40.6,9.3
64.07142857142854,0.6733252842105262,3899.0,9.0,0.0,26.6,7.8
65.10714285714283,0.6398331684210525,3937.0,9.0,0.0,28.1,3.1
66.14285714285712,0.6450668421052632,3983.0,9.0,0.0,29.7,4.7
67.17857142857142,0.6466344421052628,3984.0,9.0,0.0,34.4,7.8
68.21428571428571,0.6486513578947367,4025.0,9.0,0.0,40.6,14.1
69.25,0.6566174421052628,4037.0,9.0,0.0,26.6,9.4
70.28571428571429,0.629784842105263,4043.0,9.0,0.0,32.8,7.7
71.32142857142858,0.6377087157894735,3993.0,10.0,0.0,34.4,9.3
72.35714285714288,0.6723367157894738,4089.0,9.0,0.0,31.3,7.8
73.39285714285717,0.6578180000000002,4076.0,9.0,0.0,26.6,7.8
74.42857142857146,0.6288834526315792,3991.0,9.0,0.0,46.1,7.8
75.46428571428575,0.6255189684210528,3960.0,9.0,0.0,43.8,6.2
76.50000000000004,0.6550832421052633,3966.0,9.0,0.0,34.4,6.2
77.53571428571433,0.6576337999999998,4018.0,9.0,0.0,31.3,6.2
78.57142857142863,0.6449574105263157,4067.0,9.0,0.0,40.6,7.8
79.60714285714292,0.6479448947368418,3989.0,9.0,0.0,50.0,14.0
80.64285714285721,0.655104589473684,4009.0,9.0,0.0,32.8,10.9
