Sec.,PowerMeter(ADC),PowerNvi,GPU-T,GPU-D,CPU-R,CPU-G
4,0.6606526702127663,5746.0,11.0,5.0,6.2,14.1
5.035714285714286,0.7262264148936165,4137.0,15.0,7.0,0.0,1.6
6.071428571428571,0.6560672872340426,4266.0,5.0,5.0,3.1,4.6
7.107142857142857,0.6626287978723405,4149.0,7.0,5.0,1.6,6.2
8.142857142857142,0.6686153404255318,4149.0,7.0,5.0,3.1,10.9
9.178571428571429,0.6648015744680851,3971.0,7.0,5.0,0.0,10.9
10.214285714285715,0.6597823936170213,4063.0,7.0,5.0,0.0,6.2
11.250000000000002,0.689868510638298,4139.0,7.0,5.0,1.6,3.1
12.285714285714288,0.6786228510638299,4139.0,7.0,5.0,3.1,9.4
13.321428571428575,0.6613053191489363,4054.0,7.0,5.0,3.1,4.7
14.357142857142861,0.6621817234042553,4108.0,7.0,5.0,1.6,4.7
15.392857142857148,0.6694575531914894,4024.0,7.0,5.0,0.0,6.2
16.428571428571434,0.6696816489361697,4151.0,7.0,5.0,0.0,7.8
17.46428571428572,0.6901530425531921,4003.0,7.0,6.0,0.0,10.9
18.500000000000004,0.6484977446808515,3951.0,7.0,5.0,0.0,9.4
19.53571428571429,0.67745164893617,3969.0,7.0,5.0,3.1,6.2
20.571428571428573,0.681612,4090.0,7.0,5.0,0.0,7.8
21.607142857142858,0.6473136702127659,4091.0,7.0,5.0,3.1,7.8
22.642857142857142,0.6949701382978725,4114.0,7.0,5.0,1.6,6.2
23.678571428571427,0.6971412978723405,3969.0,7.0,5.0,1.6,9.4
24.71428571428571,0.6897022659574464,3986.0,7.0,5.0,0.0,9.4
25.749999999999996,0.6742948723404256,3975.0,7.0,5.0,1.5,9.4
26.78571428571428,0.6433165957446809,4071.0,7.0,5.0,4.7,4.7
27.821428571428566,0.6640006382978723,3931.0,7.0,5.0,4.7,14.1
28.85714285714285,0.701688021276596,3967.0,7.0,5.0,3.1,15.6
29.892857142857135,0.655488755319149,4013.0,7.0,5.0,4.7,10.9
30.92857142857142,0.6658908191489361,4035.0,7.0,5.0,0.0,7.8
31.964285714285705,0.6588237659574468,4082.0,7.0,5.0,0.0,4.7
32.99999999999999,0.6914111170212766,4020.0,7.0,6.0,0.0,3.1
34.03571428571428,0.6598866595744682,3986.0,7.0,5.0,1.6,9.4
35.07142857142856,0.703292170212766,4067.0,7.0,6.0,0.0,4.7
36.10714285714285,0.6608004574468084,4031.0,7.0,6.0,0.0,9.4
37.14285714285713,0.6640156382978726,4103.0,7.0,5.0,4.7,4.7
38.178571428571416,0.6634617127659577,4017.0,7.0,5.0,3.1,12.5
