Sec.,PowerMeter(ADC),PowerNvi,GPU-T,GPU-D,CPU-R,CPU-G
4,0.6601375157894737,5809.0,1.0,2.0,15.6,56.8
5.035714285714286,0.6616277684210528,4761.0,8.0,2.0,3.1,14.1
6.071428571428571,0.6623429473684208,3927.0,26.0,4.0,0.0,3.1
7.107142857142857,0.6455427789473687,3915.0,5.0,3.0,3.1,3.1
8.142857142857142,0.6880134210526315,4001.0,6.0,3.0,0.0,14.0
9.178571428571429,0.6517118315789475,4068.0,7.0,3.0,10.9,20.3
10.214285714285715,0.6606347473684212,4100.0,7.0,3.0,9.4,14.100000000000001
11.250000000000002,0.6648164947368422,3880.0,7.0,3.0,6.2,9.4
12.285714285714288,0.6347469999999997,4107.0,7.0,3.0,1.6,18.8
13.321428571428575,0.6401592315789472,4021.0,7.0,3.0,3.1,20.400000000000002
14.357142857142861,0.6600212631578946,3960.0,7.0,3.0,3.1,14.1
15.392857142857148,0.6467651263157896,4057.0,7.0,3.0,6.2,6.300000000000001
16.428571428571434,0.6600903263157899,3972.0,7.0,3.0,4.7,11.0
17.46428571428572,0.6536178105263155,4002.0,7.0,3.0,0.0,6.300000000000001
18.500000000000004,0.6506880105263158,3952.0,7.0,3.0,4.7,4.7
19.53571428571429,0.6597721473684209,3947.0,7.0,3.0,3.1,12.5
20.571428571428573,0.6401920842105262,4069.0,7.0,3.0,6.2,11.0
21.607142857142858,0.6385908315789472,4030.0,7.0,3.0,1.6,6.300000000000001
22.642857142857142,0.6497194526315789,4040.0,7.0,3.0,6.2,17.2
23.678571428571427,0.651402736842105,4069.0,7.0,3.0,4.7,12.5
24.71428571428571,0.6546036000000001,4014.0,7.0,3.0,3.1,14.1
25.749999999999996,0.6346945263157894,4000.0,7.0,3.0,3.1,10.9
26.78571428571428,0.6419933368421055,3971.0,7.0,3.0,1.6,9.4
27.821428571428566,0.6694782842105262,3952.0,7.0,3.0,1.5,10.9
28.85714285714285,0.665627410526316,3966.0,7.0,3.0,3.1,4.7
29.892857142857135,0.653044673684211,3984.0,7.0,4.0,4.7,7.8
30.92857142857142,0.6377506736842105,4016.0,7.0,3.0,14.1,3.1
31.964285714285705,0.6500991473684207,3951.0,7.0,3.0,7.8,9.4
32.99999999999999,0.6725121263157893,3968.0,7.0,3.0,4.7,14.1
34.03571428571428,0.6643534210526313,3986.0,7.0,3.0,4.7,9.4
35.07142857142856,0.6412690105263161,4012.0,7.0,3.0,1.6,10.9
36.10714285714285,0.6663950421052632,4023.0,7.0,3.0,3.1,11.0
37.14285714285713,0.647717063157895,3995.0,7.0,3.0,1.6,12.5
38.178571428571416,0.661430705263158,4058.0,7.0,3.0,6.2,9.4
39.2142857142857,0.6456443789473684,3941.0,7.0,3.0,0.0,7.8
40.249999999999986,0.6566345473684208,3931.0,7.0,3.0,0.0,6.300000000000001
41.28571428571427,0.6562511684210526,4000.0,7.0,3.0,0.0,10.9
42.321428571428555,0.6548763684210525,4033.0,7.0,3.0,0.0,6.2
43.35714285714284,0.6371519894736839,4040.0,7.0,3.0,4.6,15.7
44.392857142857125,0.641033431578947,4040.0,7.0,3.0,6.2,9.4
45.42857142857141,0.6410152210526315,4067.0,7.0,3.0,3.1,10.9
46.464285714285694,0.6814113578947366,3984.0,7.0,3.0,1.6,15.6
47.49999999999998,0.6594618421052633,3959.0,7.0,3.0,1.6,6.2
48.53571428571426,0.6366502315789474,3965.0,7.0,3.0,4.7,10.9
49.57142857142855,0.6661131789473685,3955.0,7.0,3.0,10.9,10.9
50.60714285714283,0.6539552,4056.0,7.0,3.0,4.7,12.5
51.64285714285712,0.6498369263157895,4147.0,7.0,3.0,3.1,6.2
52.6785714285714,0.6773050315789473,3966.0,7.0,3.0,4.7,6.300000000000001
53.71428571428569,0.6516512526315791,4000.0,7.0,3.0,3.1,9.4
54.74999999999997,0.6446457789473681,3977.0,7.0,3.0,3.1,7.8
55.785714285714256,0.6299937578947364,4038.0,7.0,3.0,4.7,7.9
56.82142857142854,0.6319798,3970.0,6.0,3.0,3.1,9.4
57.857142857142826,0.657081157894737,3950.0,7.0,3.0,7.8,15.6
58.89285714285711,0.6565319999999998,4008.0,7.0,3.0,1.6,15.6
59.928571428571395,0.6544695368421053,3982.0,7.0,3.0,3.1,17.2
60.96428571428568,0.6462364210526318,4039.0,7.0,3.0,3.1,11.0
61.999999999999964,0.6378016,4038.0,7.0,3.0,1.6,14.1
63.03571428571425,0.6459986526315786,3930.0,7.0,3.0,1.6,12.5
64.07142857142854,0.6539419157894738,3951.0,7.0,3.0,3.1,7.800000000000001
65.10714285714283,0.6593431368421055,3974.0,7.0,3.0,0.0,20.400000000000002
66.14285714285712,0.6324593894736842,4009.0,7.0,3.0,3.1,12.5
