Sec.,PowerMeter(ADC),PowerNvi,GPU-T,GPU-D,CPU-R,CPU-G
4,0.655711563829787,10786.0,1.0,6.0,6.2,18.8
5.035714285714286,0.7251496276595741,4940.0,24.0,12.0,0.0,9.4
6.071428571428571,0.7293806063829785,4019.0,8.0,10.0,0.0,6.2
7.107142857142857,0.6903347659574468,4139.0,5.0,10.0,4.7,15.6
8.142857142857142,0.6685329255319148,4130.0,6.0,9.0,6.2,15.7
9.178571428571429,0.6568325638297873,4056.0,6.0,9.0,0.0,1.6
10.214285714285715,0.6633066382978724,4017.0,7.0,9.0,3.1,7.800000000000001
11.250000000000002,0.672459595744681,4066.0,6.0,9.0,3.1,6.2
12.285714285714288,0.6454985638297869,4102.0,7.0,10.0,1.6,12.4
13.321428571428575,0.6656369999999997,4205.0,7.0,10.0,1.6,10.9
14.357142857142861,0.6463817127659572,4074.0,7.0,10.0,0.0,4.7
15.392857142857148,0.7437539255319149,4075.0,6.0,10.0,3.1,7.8
16.428571428571434,0.644675978723404,4056.0,6.0,10.0,1.6,7.8
17.46428571428572,0.6679355744680853,4070.0,6.0,10.0,0.0,12.5
18.500000000000004,0.6506376276595744,4133.0,6.0,10.0,1.6,14.1
19.53571428571429,0.6675581382978724,4116.0,6.0,10.0,1.6,7.8
20.571428571428573,0.6632043936170217,4156.0,6.0,10.0,1.6,3.1
21.607142857142858,0.6725904361702127,4141.0,6.0,10.0,0.0,1.6
22.642857142857142,0.6556048510638297,4028.0,6.0,10.0,1.6,4.7
23.678571428571427,0.66933514893617,4028.0,7.0,10.0,1.5,4.7
24.71428571428571,0.6609363510638304,4143.0,6.0,10.0,1.6,10.9
25.749999999999996,0.7452095425531919,4142.0,6.0,10.0,1.6,14.1
26.78571428571428,0.7016200744680849,4231.0,6.0,10.0,0.0,10.9
27.821428571428566,0.6857856595744682,4141.0,7.0,10.0,4.7,15.7
28.85714285714285,0.6583804042553193,4159.0,6.0,10.0,3.1,12.5
29.892857142857135,0.6720451595744679,4061.0,6.0,10.0,1.6,9.4
30.92857142857142,0.6711632021276593,4032.0,6.0,10.0,4.7,13.8
31.964285714285705,0.6780524574468084,4106.0,6.0,10.0,15.6,1.6
32.99999999999999,0.6645525425531914,3996.0,6.0,10.0,0.0,3.1
34.03571428571428,0.6618223510638298,4145.0,6.0,10.0,1.6,4.7
35.07142857142856,0.7253032872340425,4125.0,6.0,10.0,0.0,7.8
36.10714285714285,0.6936480638297874,4087.0,6.0,9.0,4.7,12.5
37.14285714285713,0.6471999468085108,4108.0,7.0,9.0,0.0,15.6
38.178571428571416,0.6617509042553187,4174.0,6.0,10.0,1.6,12.5
39.2142857142857,0.6581639680851066,4175.0,6.0,10.0,3.1,10.9
40.249999999999986,0.662099234042553,4116.0,6.0,10.0,1.6,9.4
41.28571428571427,0.690132308510638,4043.0,6.0,9.0,0.0,9.4
42.321428571428555,0.6711162021276599,4038.0,7.0,10.0,0.0,7.8
43.35714285714284,0.6600257446808513,4148.0,6.0,10.0,4.7,3.1
44.392857142857125,0.6658503297872342,4191.0,6.0,9.0,0.0,0.0
45.42857142857141,0.718049425531915,4103.0,6.0,10.0,0.0,0.0
46.464285714285694,0.6819638404255318,4156.0,6.0,10.0,3.1,7.7
47.49999999999998,0.654214521276596,4152.0,6.0,10.0,0.0,9.4
