Sec.,PowerMeter(ADC),PowerNvi,GPU-T,GPU-D,CPU-R,CPU-G
4,0.6758284574468084,4045.0,7.0,3.0,3.1,4.7
5.035714285714286,0.6956314361702128,4019.0,7.0,3.0,0.0,7.8
6.071428571428571,0.6823817659574465,4047.0,7.0,3.0,3.1,9.4
7.107142857142857,0.6718860531914898,4080.0,7.0,3.0,1.5,9.4
8.142857142857142,0.6805521489361703,4048.0,7.0,3.0,4.7,6.2
9.178571428571429,0.68483935106383,3962.0,7.0,3.0,0.0,9.4
10.214285714285715,1.669072585106383,4073.0,7.0,3.0,0.0,4.7
11.250000000000002,1.5741893829787246,4217.0,7.0,3.0,1.6,12.5
12.285714285714288,0.888037670212766,4048.0,7.0,3.0,6.2,7.8
13.321428571428575,0.6888562446808513,4037.0,7.0,3.0,1.6,4.7
14.357142857142861,0.6933049361702129,4133.0,7.0,3.0,0.0,6.2
15.392857142857148,0.7629304361702132,4097.0,7.0,3.0,0.0,4.7
16.428571428571434,0.6763508936170215,4061.0,7.0,3.0,0.0,3.1
17.46428571428572,0.9669429787234047,4086.0,7.0,3.0,0.0,6.2
18.500000000000004,2.3918408510638303,4193.0,7.0,3.0,1.6,7.8
19.53571428571429,1.2057238404255328,4097.0,7.0,3.0,1.5,14.1
20.571428571428573,1.0635217872340421,4254.0,7.0,3.0,0.0,10.9
21.607142857142858,0.9330141702127663,4159.0,7.0,3.0,10.9,10.9
22.642857142857142,0.7210119042553187,4080.0,7.0,3.0,4.7,15.7
23.678571428571427,0.7037552553191488,4121.0,7.0,3.0,1.6,14.1
24.71428571428571,0.7285982234042553,4103.0,7.0,3.0,3.1,17.2
25.749999999999996,0.6944595425531916,3969.0,7.0,3.0,4.7,7.8
26.78571428571428,0.674377989361702,4002.0,7.0,3.0,3.1,7.8
27.821428571428566,0.7585486595744684,4045.0,7.0,3.0,3.1,6.2
28.85714285714285,0.711318085106383,4044.0,7.0,3.0,3.1,7.8
29.892857142857135,0.7171539255319147,4037.0,7.0,3.0,1.6,4.7
30.92857142857142,0.7255743191489362,4017.0,7.0,3.0,0.0,10.9
31.964285714285705,0.6874250638297872,3945.0,7.0,3.0,7.8,6.199999999999999
32.99999999999999,0.6921084468085107,4010.0,7.0,3.0,0.0,4.7
34.03571428571428,0.6696614255319153,4030.0,7.0,3.0,1.6,6.2
35.07142857142856,0.7168305851063824,4196.0,7.0,3.0,1.6,4.7
36.10714285714285,0.6962880000000001,4039.0,7.0,3.0,3.1,6.2
37.14285714285713,0.6762297340425533,3988.0,7.0,3.0,0.0,7.8
38.178571428571416,0.7203535531914899,4050.0,7.0,3.0,3.1,6.2
39.2142857142857,0.6946159574468082,4022.0,7.0,3.0,1.6,4.7
40.249999999999986,0.7096335425531916,4054.0,7.0,3.0,4.7,3.1
41.28571428571427,0.6785631276595745,4016.0,7.0,3.0,1.6,12.5
42.321428571428555,0.6769302978723402,4091.0,7.0,3.0,4.7,15.7
43.35714285714284,0.6795748829787236,3966.0,7.0,3.0,3.1,12.5
44.392857142857125,0.7065264893617016,4058.0,7.0,3.0,1.6,12.5
45.42857142857141,0.6874257127659571,4082.0,7.0,3.0,1.6,7.8
46.464285714285694,0.6759349574468085,4107.0,7.0,3.0,3.1,12.5
47.49999999999998,0.6836295425531916,3994.0,7.0,3.0,1.6,6.2
48.53571428571426,0.7206851808510638,4031.0,7.0,3.0,1.6,10.9
49.57142857142855,0.6906499255319146,4018.0,7.0,3.0,0.0,4.7
50.60714285714283,0.6895104042553191,4096.0,7.0,3.0,3.1,14.1
51.64285714285712,0.6774575319148937,4072.0,7.0,3.0,4.7,10.9
52.6785714285714,0.7017271702127662,4061.0,7.0,3.0,3.1,11.0
53.71428571428569,0.6788810319148934,4087.0,7.0,3.0,0.0,4.7
54.74999999999997,0.7155825212765955,4062.0,7.0,3.0,1.6,9.4
55.785714285714256,0.7146895319148936,4092.0,7.0,3.0,1.6,6.2
56.82142857142854,0.6659638085106384,4008.0,7.0,3.0,1.6,6.2
57.857142857142826,0.7207921170212769,4018.0,7.0,3.0,1.5,9.4
58.89285714285711,0.6896239680851064,3999.0,7.0,3.0,1.6,4.7
59.928571428571395,0.7089711276595745,4169.0,7.0,3.0,0.0,12.5
60.96428571428568,0.7012664893617025,4022.0,7.0,3.0,1.6,15.6
61.999999999999964,0.6662538723404255,4009.0,7.0,3.0,1.6,9.4
63.03571428571425,0.683483425531915,4003.0,7.0,3.0,0.0,15.6
64.07142857142854,0.6576311702127657,3998.0,7.0,3.0,0.0,1.6
65.10714285714283,0.7257404148936174,4049.0,7.0,3.0,1.6,7.8
66.14285714285712,0.6877727765957448,4021.0,7.0,3.0,3.1,6.2
67.17857142857142,0.6906636170212767,4112.0,7.0,3.0,0.0,6.2
68.21428571428571,0.7159271595744682,4018.0,7.0,3.0,0.0,12.5
69.25,0.7043282765957448,4082.0,7.0,3.0,3.1,7.8
70.28571428571429,0.7016407234042552,4009.0,7.0,3.0,0.0,6.2
71.32142857142858,0.671627191489362,4069.0,7.0,3.0,1.6,4.7
72.35714285714288,0.659971925531915,3985.0,7.0,3.0,3.1,4.7
73.39285714285717,0.7042488085106383,3971.0,7.0,3.0,0.0,4.7
74.42857142857146,0.7137361489361703,4002.0,7.0,3.0,0.0,7.8
75.46428571428575,0.6947674680851067,3974.0,7.0,3.0,3.1,7.8
76.50000000000004,0.6774149042553188,3971.0,7.0,3.0,1.6,4.7
77.53571428571433,0.7090793297872339,4048.0,7.0,3.0,3.1,6.2
78.57142857142863,0.6855335425531914,4039.0,7.0,3.0,1.6,4.7
79.60714285714292,0.7033345957446808,4067.0,7.0,3.0,0.0,4.6
80.64285714285721,0.7337697978723401,4044.0,7.0,3.0,0.0,4.7
81.6785714285715,0.6754143191489361,4045.0,7.0,3.0,4.7,14.1
82.7142857142858,0.6763946808510639,3943.0,7.0,3.0,6.2,9.4
83.75000000000009,0.6736196702127663,3944.0,7.0,3.0,1.6,4.7
84.78571428571438,0.7368272978723404,3991.0,7.0,3.0,1.6,6.2
85.82142857142867,0.6874698510638299,3999.0,7.0,3.0,4.7,10.9
86.85714285714296,0.6792368510638297,4048.0,7.0,3.0,1.6,12.5
87.89285714285725,0.7203277659574469,4080.0,7.0,3.0,3.1,10.9
88.92857142857154,0.6854754680851065,3945.0,7.0,3.0,3.1,7.8
89.96428571428584,0.7007832765957445,4004.0,7.0,3.0,3.1,12.5
91.00000000000013,0.7024548936170214,3997.0,7.0,3.0,3.1,4.7
92.03571428571442,0.6986893723404252,4080.0,7.0,3.0,1.6,4.7
93.07142857142871,0.6784973085106383,4077.0,7.0,3.0,6.2,4.7
94.107142857143,0.6626524042553191,4012.0,7.0,3.0,1.6,1.6
95.1428571428573,0.7229076063829786,3985.0,7.0,3.0,1.6,7.8
96.17857142857159,0.6785841914893616,4032.0,7.0,3.0,1.6,9.4
97.21428571428588,0.6924297872340425,3991.0,7.0,3.0,1.6,7.8
98.25000000000017,0.6822206170212765,3941.0,7.0,3.0,1.6,9.4
99.28571428571446,0.6856630851063833,3977.0,7.0,3.0,1.6,14.1
100.32142857142875,0.7251228829787236,3915.0,7.0,3.0,3.1,9.4
101.35714285714305,0.6964312234042555,3985.0,7.0,3.0,1.6,10.9
102.39285714285734,0.66420235106383,4052.0,7.0,3.0,3.1,9.4
103.42857142857163,0.6759430319148935,3970.0,7.0,3.0,1.6,10.9
104.46428571428592,0.6844593297872346,10583.0,6.0,2.0,0,0
105.50000000000021,0.6902723404255315,10532.0,2.0,0.0,0.0,0.0
106.5357142857145,0.6970555212765959,10524.0,0.0,0.0,0.0,0.0
107.5714285714288,0.7235199255319154,4879.0,1.0,0.0,0.0,0.0
108.60714285714309,0.6772378297872342,4845.0,1.0,0.0,0.0,0.0
109.64285714285738,0.6974135851063826,4814.0,1.0,0.0,0.0,0.0
110.67857142857167,0.6982827765957446,4827.0,1.0,0.0,0.0,0.0
111.71428571428596,0.6694809468085104,3962.0,7.0,3.0,10.9,17.0
112.75000000000026,0.6776794148936168,3987.0,7.0,3.0,20.3,20.400000000000002
113.78571428571455,0.6928572446808511,4029.0,7.0,3.0,6.2,4.7
114.82142857142884,0.7070265425531914,3975.0,7.0,3.0,17.2,1.6
115.85714285714313,0.6978813191489365,4040.0,7.0,3.0,21.9,7.8
116.89285714285742,0.6726105531914893,4003.0,7.0,3.0,3.1,9.4
117.92857142857171,0.7162845212765958,4057.0,7.0,3.0,10.9,7.8
118.964285714286,0.6790794255319148,4122.0,7.0,3.0,6.2,7.8
120.0000000000003,0.727940659574468,4096.0,7.0,3.0,4.7,15.6
