Sec.,PowerMeter(ADC),PowerNvi,GPU-T,GPU-D,CPU-R,CPU-G
4,0.6526725263157891,10611.0,2.0,2.0,1.6,43.8
5.035714285714286,0.7139427473684209,10907.0,1.0,2.0,10.9,26.6
6.071428571428571,0.8297677473684214,5325.0,12.0,4.0,4.7,12.5
7.107142857142857,1.1930273999999996,4014.0,15.0,5.0,1.6,14.1
8.142857142857142,1.0662695789473684,4085.0,4.0,3.0,0.0,12.5
9.178571428571429,0.8943401999999996,3993.0,6.0,3.0,1.6,14.1
10.214285714285715,0.9675022631578944,3987.0,6.0,3.0,1.6,11.0
11.250000000000002,0.725156431578947,3984.0,7.0,3.0,3.1,7.800000000000001
12.285714285714288,0.6234720842105265,4072.0,6.0,3.0,3.1,9.2
13.321428571428575,0.6242793684210528,3985.0,7.0,3.0,3.1,10.9
14.357142857142861,0.6334725157894739,3975.0,7.0,3.0,4.7,12.5
15.392857142857148,0.6211283052631578,3955.0,7.0,3.0,0.0,14.100000000000001
16.428571428571434,0.6540307052631582,3985.0,7.0,3.0,4.7,10.9
17.46428571428572,0.6518114210526316,4024.0,7.0,3.0,3.1,12.4
18.500000000000004,0.6190102842105267,4070.0,7.0,3.0,4.7,18.8
19.53571428571429,0.6613884210526314,4026.0,7.0,3.0,3.1,17.2
20.571428571428573,0.6142303578947363,4088.0,7.0,3.0,7.8,20.400000000000002
21.607142857142858,0.6154473157894736,3993.0,6.0,3.0,3.1,10.9
22.642857142857142,0.6357393368421054,3958.0,7.0,3.0,1.6,9.4
23.678571428571427,0.6341721578947369,4028.0,7.0,3.0,0.0,7.8
24.71428571428571,0.6201612526315791,3951.0,6.0,3.0,3.1,9.4
25.749999999999996,0.6107686315789471,3972.0,7.0,3.0,1.6,12.5
26.78571428571428,0.6456967789473683,3976.0,6.0,3.0,10.9,3.1
27.821428571428566,0.631791852631579,3903.0,7.0,3.0,4.7,10.9
28.85714285714285,0.6345123157894736,3970.0,7.0,3.0,1.6,10.9
29.892857142857135,0.6076173473684211,3996.0,7.0,3.0,4.7,15.6
30.92857142857142,0.6041401578947365,3970.0,7.0,3.0,4.7,14.1
31.964285714285705,0.6323870947368421,3977.0,6.0,3.0,7.7,9.4
32.99999999999999,0.6300877473684209,3861.0,6.0,3.0,4.7,17.0
34.03571428571428,0.6291900842105262,3966.0,6.0,3.0,1.6,7.7
35.07142857142856,0.6141001263157894,3987.0,7.0,3.0,1.6,6.2
36.10714285714285,0.6317301789473684,3985.0,7.0,3.0,1.6,9.2
37.14285714285713,0.6514003789473681,3975.0,7.0,3.0,6.2,7.8
38.178571428571416,0.6144121157894739,3961.0,7.0,3.0,1.6,9.4
39.2142857142857,0.6284321894736843,3921.0,7.0,3.0,1.6,15.6
40.249999999999986,0.6163559368421051,3978.0,7.0,3.0,4.6,6.2
41.28571428571427,0.6185139894736843,3960.0,7.0,3.0,1.6,10.9
42.321428571428555,0.6235366842105264,4045.0,7.0,3.0,1.6,14.1
43.35714285714284,0.6105877052631582,3984.0,6.0,3.0,7.8,10.9
44.392857142857125,0.6484861578947366,4063.0,7.0,3.0,3.1,6.2
45.42857142857141,0.6181687157894736,3997.0,7.0,3.0,3.1,9.4
46.464285714285694,0.6563769052631576,3968.0,7.0,3.0,0.0,6.2
47.49999999999998,0.6301699368421052,3971.0,6.0,3.0,1.6,12.3
48.53571428571426,0.6328804736842102,4133.0,7.0,3.0,0.0,14.1
49.57142857142855,0.6184429578947367,4006.0,7.0,3.0,3.1,14.1
50.60714285714283,0.6103606000000005,4011.0,7.0,3.0,3.1,9.4
51.64285714285712,0.6313349368421056,3918.0,7.0,3.0,4.7,6.2
52.6785714285714,0.6061790631578948,3890.0,6.0,3.0,0.0,15.6
53.71428571428569,0.6345200947368422,3921.0,7.0,3.0,6.2,7.8
54.74999999999997,0.634115873684211,3972.0,7.0,3.0,1.6,17.2
55.785714285714256,0.6259963052631579,3994.0,7.0,3.0,1.6,17.2
56.82142857142854,0.6268750210526317,3947.0,7.0,3.0,3.1,15.6
57.857142857142826,0.623271863157895,3957.0,7.0,3.0,6.2,7.8
58.89285714285711,0.635762147368421,3888.0,7.0,3.0,1.6,12.5
59.928571428571395,0.629791705263158,3967.0,7.0,3.0,1.6,9.4
60.96428571428568,0.612309768421053,3836.0,7.0,3.0,0.0,10.9
61.999999999999964,0.6239338842105262,4027.0,6.0,3.0,1.6,7.8
63.03571428571425,0.6187173473684213,3930.0,7.0,3.0,1.6,12.5
64.07142857142854,0.6352351368421055,3955.0,7.0,3.0,37.5,14.1
65.10714285714283,0.6138491263157897,3948.0,6.0,3.0,9.4,7.8
66.14285714285712,0.6106284210526315,3937.0,6.0,3.0,6.2,15.7
67.17857142857142,0.648793557894737,3951.0,7.0,3.0,1.6,10.9
68.21428571428571,0.6481575052631573,3854.0,7.0,3.0,1.6,16.9
69.25,0.6211429263157896,3932.0,6.0,3.0,3.1,12.4
70.28571428571429,0.6392256526315789,3952.0,7.0,3.0,7.8,17.3
71.32142857142858,0.637082052631579,3989.0,7.0,3.0,0.0,7.8
72.35714285714288,0.6150359578947369,3895.0,7.0,3.0,4.7,6.2
73.39285714285717,0.6243306315789477,4039.0,6.0,3.0,4.7,10.9
74.42857142857146,0.6172379368421053,3920.0,7.0,3.0,1.6,10.9
75.46428571428575,0.6364770210526314,4003.0,7.0,3.0,1.6,9.4
76.50000000000004,0.6511461789473683,4000.0,7.0,3.0,3.1,11.0
77.53571428571433,0.618839105263158,3949.0,7.0,3.0,1.6,15.7
78.57142857142863,0.645259494736842,3990.0,7.0,3.0,4.7,10.9
79.60714285714292,0.6080545473684211,3992.0,7.0,3.0,6.2,15.6
