Sec.,PowerMeter(ADC),PowerNvi,GPU-T,GPU-D,CPU-R,CPU-G
4,2.2295411170212764,9890.0,20.0,0.0,239.1,68.8
5.035714285714286,2.8009167978723406,7972.0,41.0,0.0,203.1,32.3
6.071428571428571,3.113206617021276,8023.0,25.0,0.0,190.6,37.5
7.107142857142857,2.665767329787235,7867.0,29.0,0.0,218.7,29.7
8.142857142857142,2.877602861702127,5761.0,25.0,0.0,193.8,34.4
9.178571428571429,2.2027338191489365,7916.0,34.0,0.0,200.0,39.1
10.214285714285715,3.531118510638299,5895.0,25.0,0.0,206.2,31.3
11.250000000000002,2.3559503297872335,7956.0,38.0,0.0,216.8,34.4
12.285714285714288,3.1506552553191476,8187.0,25.0,0.0,229.7,46.9
13.321428571428575,2.5649643085106377,8109.0,30.0,0.0,212.5,41.5
14.357142857142861,3.227797425531915,8079.0,29.0,0.0,231.3,26.6
15.392857142857148,3.1985087659574445,8046.0,26.0,0.0,195.3,32.8
16.428571428571434,2.6941610531914906,7956.0,33.0,0.0,215.6,40.6
17.46428571428572,2.902686989361702,5865.0,25.0,0.0,217.2,35.9
18.500000000000004,3.4599894999999994,8086.0,38.0,0.0,242.2,39.0
19.53571428571429,2.314708734042554,5991.0,25.0,0.0,221.9,42.2
20.571428571428573,2.9998747234042535,8131.0,35.0,0.0,225.0,32.8
21.607142857142858,3.120511606382979,8115.0,28.0,0.0,204.7,39.1
22.642857142857142,2.6513519680851094,8017.0,26.0,0.0,206.2,42.2
23.678571428571427,2.4385087021276592,8028.0,33.0,0.0,251.6,40.6
24.71428571428571,2.6795075319148927,8440.0,25.0,0.0,254.7,43.800000000000004
25.749999999999996,1.9845029787234048,8066.0,38.0,0.0,198.4,32.8
26.78571428571428,2.5082882872340435,5827.0,25.0,0.0,201.6,35.9
27.821428571428566,2.87628445744681,8067.0,35.0,0.0,212.5,32.8
28.85714285714285,3.0625682553191527,8075.0,28.0,0.0,231.3,31.3
29.892857142857135,2.9492862234042554,8229.0,24.0,0.0,220.3,37.5
30.92857142857142,3.151032723404256,8247.0,39.0,0.0,200.0,29.7
31.964285714285705,3.1478313617021274,8592.0,25.0,0.0,209.4,29.7
32.99999999999999,3.7605901914893622,8196.0,34.0,0.0,181.2,20.0
34.03571428571428,3.0728649893617024,6008.0,31.0,0.0,184.4,29.7
35.07142857142856,3.1593795744680833,8324.0,29.0,0.0,215.6,42.2
36.10714285714285,2.9850148404255337,5875.0,26.0,0.0,221.9,34.4
37.14285714285713,3.4151906489361696,8292.0,38.0,0.0,251.6,26.6
38.178571428571416,3.006915606382979,8333.0,25.0,0.0,204.7,26.6
