Sec.,PowerMeter(ADC),PowerNvi,GPU-T,GPU-D,CPU-R,CPU-G
4,0.7417748736842105,5452.0,2.0,11.0,12.5,26.599999999999998
5.035714285714286,1.1631297157894744,5116.0,26.0,20.0,9.4,10.9
6.071428571428571,1.1852032210526313,4408.0,14.0,18.0,1.6,17.2
7.107142857142857,0.8936384210526316,4367.0,6.0,16.0,7.8,10.9
8.142857142857142,0.908492589473685,4363.0,8.0,16.0,1.6,9.2
9.178571428571429,0.72298747368421,4290.0,8.0,16.0,6.2,12.4
10.214285714285715,0.651019389473684,4322.0,8.0,16.0,6.2,7.8
11.250000000000002,0.6337596210526315,4371.0,8.0,16.0,1.6,12.5
12.285714285714288,0.6732015789473684,4390.0,8.0,16.0,9.4,17.2
13.321428571428575,0.6485249157894734,4524.0,8.0,16.0,3.1,12.5
14.357142857142861,0.6916994947368419,4370.0,9.0,17.0,0.0,16.9
15.392857142857148,0.7041611263157893,4298.0,8.0,16.0,4.7,15.6
16.428571428571434,0.6403164315789474,4381.0,8.0,16.0,1.6,12.5
17.46428571428572,0.6574912315789475,4434.0,8.0,16.0,3.1,7.8
18.500000000000004,0.6624906105263159,4376.0,8.0,16.0,7.8,9.4
19.53571428571429,0.652104105263158,4418.0,8.0,16.0,1.6,10.9
20.571428571428573,0.6579522736842106,4304.0,8.0,17.0,1.6,9.4
21.607142857142858,0.623073357894737,4274.0,8.0,16.0,1.6,14.1
22.642857142857142,0.6345393789473681,4277.0,9.0,16.0,4.7,12.5
23.678571428571427,0.6777945789473684,4377.0,8.0,16.0,0.0,10.8
24.71428571428571,0.6506615473684212,4397.0,8.0,16.0,4.7,23.4
25.749999999999996,0.6536256421052633,4378.0,8.0,16.0,1.6,15.6
26.78571428571428,0.6215060842105264,4426.0,8.0,16.0,3.1,9.4
27.821428571428566,0.6385425789473684,4274.0,8.0,16.0,7.7,20.0
28.85714285714285,0.6402111368421054,4270.0,8.0,16.0,6.2,17.2
29.892857142857135,0.6599384000000003,4424.0,8.0,16.0,18.8,12.5
30.92857142857142,0.6404693263157893,4377.0,8.0,16.0,4.7,10.9
31.964285714285705,0.705989305263158,4326.0,8.0,16.0,3.1,17.2
32.99999999999999,0.6443592631578947,4360.0,8.0,16.0,3.1,10.9
34.03571428571428,0.6362507999999999,4274.0,8.0,16.0,6.2,12.5
35.07142857142856,0.6654447368421054,4381.0,8.0,16.0,3.1,9.4
