Sec.,PowerMeter(ADC),PowerNvi,GPU-T,GPU-D,CPU-R,CPU-G
4,0.6763579052631579,10913.0,3.0,17.0,4.7,21.9
5.035714285714286,0.6582393999999999,5321.0,27.0,26.0,7.8,6.2
6.071428571428571,0.6792929578947369,4520.0,19.0,28.0,6.2,12.4
7.107142857142857,0.6827981157894739,4746.0,16.0,28.0,3.1,7.7
8.142857142857142,0.6946816105263159,4789.0,19.0,28.0,3.1,12.5
9.178571428571429,0.661503115789474,4607.0,19.0,28.0,0.0,20.3
10.214285714285715,0.7020623052631578,4709.0,19.0,28.0,0.0,21.9
11.250000000000002,0.679646842105263,4445.0,19.0,28.0,1.6,4.7
12.285714285714288,0.709391736842105,4642.0,19.0,27.0,15.6,14.0
13.321428571428575,0.6786894736842108,4619.0,19.0,27.0,1.6,4.7
14.357142857142861,0.6621920631578949,4601.0,19.0,27.0,6.2,6.300000000000001
15.392857142857148,0.6727531999999999,4739.0,19.0,28.0,1.6,7.8
16.428571428571434,0.6725428947368423,4602.0,19.0,27.0,1.6,4.7
17.46428571428572,0.6799159789473682,4579.0,19.0,27.0,3.1,10.8
18.500000000000004,0.6901017578947365,4544.0,19.0,28.0,7.8,18.7
19.53571428571429,0.6688205473684212,4610.0,19.0,29.0,0.0,14.1
20.571428571428573,0.6729369578947366,4664.0,19.0,29.0,1.6,12.5
21.607142857142858,0.6676598315789475,4805.0,19.0,28.0,4.7,9.4
22.642857142857142,0.6814186736842107,4490.0,20.0,30.0,0.0,12.5
23.678571428571427,0.708455105263158,4663.0,19.0,29.0,1.5,6.2
24.71428571428571,0.6653809473684211,4742.0,19.0,28.0,21.6,15.600000000000001
25.749999999999996,0.6901697894736842,4616.0,19.0,28.0,1.6,7.8
26.78571428571428,0.6715450315789474,4645.0,19.0,29.0,0.0,12.5
27.821428571428566,0.682583105263158,4500.0,19.0,29.0,6.2,9.4
28.85714285714285,0.6714522947368419,4486.0,19.0,28.0,3.1,7.8
29.892857142857135,0.6910375263157891,4719.0,19.0,28.0,4.7,17.1
30.92857142857142,0.6788335999999997,4415.0,19.0,28.0,0.0,12.5
31.964285714285705,0.6557679999999999,4742.0,19.0,29.0,3.1,21.9
32.99999999999999,0.6983961789473688,4656.0,19.0,28.0,9.4,20.3
34.03571428571428,0.6643752631578945,4462.0,19.0,27.0,0.0,6.2
35.07142857142856,0.6641288526315788,4540.0,19.0,27.0,1.6,12.4
