Sec.,PowerMeter(ADC),PowerNvi,GPU-T,GPU-D,CPU-R,CPU-G
4,0.930516578947368,10712.0,4.0,6.0,4.7,68.80000000000001
5.035714285714286,0.9754618842105268,5749.0,3.0,6.0,9.4,82.9
6.071428571428571,0.7991017052631579,10697.0,23.0,10.0,3.1,26.6
7.107142857142857,0.9606762210526317,10712.0,11.0,6.0,6.2,26.6
8.142857142857142,0.8875796315789484,10699.0,3.0,6.0,1.6,21.9
9.178571428571429,0.8838000842105262,10725.0,3.0,6.0,1.6,32.9
10.214285714285715,0.8293594421052634,5399.0,3.0,6.0,4.7,40.599999999999994
11.250000000000002,0.6921239157894737,4076.0,14.0,12.0,4.7,34.4
12.285714285714288,0.6630908736842104,4190.0,14.0,11.0,4.7,31.3
13.321428571428575,0.6597427789473689,4230.0,19.0,11.0,7.8,39.0
14.357142857142861,0.6703611578947368,4247.0,17.0,10.0,4.7,37.5
15.392857142857148,0.6852495368421052,4305.0,18.0,9.0,4.7,24.6
16.428571428571434,0.675283757894737,4240.0,18.0,9.0,12.5,31.3
17.46428571428572,0.6585557789473683,4292.0,18.0,10.0,4.7,38.5
18.500000000000004,0.6711887894736841,4335.0,18.0,10.0,4.7,29.7
19.53571428571429,0.6669268105263155,4208.0,18.0,9.0,7.8,31.3
20.571428571428573,0.6715334631578951,4299.0,18.0,9.0,3.1,32.4
21.607142857142858,0.6617768526315793,4241.0,18.0,9.0,4.7,32.9
22.642857142857142,0.6810602947368425,4204.0,18.0,9.0,3.1,20.3
23.678571428571427,0.6733271473684214,4275.0,18.0,9.0,6.2,31.3
24.71428571428571,0.6731871263157893,4235.0,18.0,9.0,7.8,24.9
25.749999999999996,0.6552339999999997,4276.0,17.0,9.0,7.8,31.3
26.78571428571428,0.6645013578947364,4439.0,18.0,9.0,3.1,31.3
27.821428571428566,0.6587070736842106,4260.0,18.0,9.0,3.1,15.7
28.85714285714285,0.6586511578947372,4270.0,18.0,10.0,4.7,32.9
29.892857142857135,0.6599373894736839,4328.0,18.0,9.0,7.8,26.5
30.92857142857142,0.6835793578947372,4250.0,18.0,10.0,4.7,26.6
31.964285714285705,0.6948975157894736,4216.0,18.0,9.0,6.2,29.7
32.99999999999999,0.6737242105263156,4358.0,17.0,10.0,4.7,26.6
34.03571428571428,0.6620308631578947,4281.0,18.0,10.0,7.8,18.8
35.07142857142856,0.6628135157894735,4362.0,18.0,10.0,1.6,25.0
36.10714285714285,0.6821541789473686,4345.0,18.0,10.0,4.7,29.7
37.14285714285713,0.6663090736842104,4441.0,18.0,10.0,6.2,26.6
38.178571428571416,0.6654053157894736,4380.0,18.0,10.0,4.7,32.8
39.2142857142857,0.6666242315789477,4321.0,18.0,10.0,1.6,18.8
40.249999999999986,0.696361747368421,4339.0,18.0,10.0,4.7,31.3
41.28571428571427,0.6842022315789476,4435.0,18.0,10.0,9.4,33.9
42.321428571428555,0.6733969578947369,4289.0,18.0,10.0,9.4,37.5
43.35714285714284,0.6493327894736839,4333.0,18.0,9.0,1.6,15.6
44.392857142857125,0.6496332105263158,4367.0,18.0,9.0,4.7,32.8
45.42857142857141,0.660719442105263,4355.0,18.0,10.0,9.4,39.1
46.464285714285694,0.686380242105263,4302.0,18.0,9.0,4.7,21.900000000000002
47.49999999999998,0.6727895894736842,4296.0,18.0,10.0,12.5,31.200000000000003
48.53571428571426,0.6577130105263159,4445.0,18.0,9.0,7.8,29.700000000000003
49.57142857142855,0.677565105263158,4215.0,18.0,9.0,6.2,32.9
50.60714285714283,0.674668936842105,4130.0,18.0,11.0,7.8,28.200000000000003
51.64285714285712,0.6554391999999998,4159.0,19.0,11.0,6.2,31.3
52.6785714285714,0.6359945578947368,4222.0,18.0,11.0,1.6,37.5
53.71428571428569,0.6607924315789472,4235.0,18.0,11.0,7.8,31.3
54.74999999999997,0.6445825368421056,4303.0,18.0,11.0,3.1,34.4
55.785714285714256,0.6694800000000002,4162.0,18.0,11.0,1.6,39.1
56.82142857142854,0.6417444210526314,4413.0,19.0,11.0,3.1,42.2
57.857142857142826,0.6492837263157898,4167.0,18.0,11.0,6.2,37.6
58.89285714285711,0.6531147052631582,4186.0,18.0,11.0,4.7,31.3
59.928571428571395,0.6573916421052632,4175.0,18.0,11.0,0.0,31.3
60.96428571428568,0.6448495052631578,4221.0,18.0,11.0,1.6,34.4
61.999999999999964,0.6556195999999997,4193.0,18.0,10.0,3.1,34.4
63.03571428571425,0.6505105263157898,4150.0,18.0,11.0,9.4,37.6
64.07142857142854,0.6471446000000001,4228.0,18.0,11.0,4.7,34.5
65.10714285714283,0.6619352315789478,4324.0,19.0,11.0,1.6,31.3
66.14285714285712,0.6431873157894736,4197.0,18.0,11.0,4.7,35.9
67.17857142857142,0.6535764105263158,4252.0,18.0,11.0,3.1,36.0
68.21428571428571,0.6562947052631577,4242.0,18.0,11.0,4.7,40.6
69.25,0.6590274000000003,4366.0,19.0,11.0,12.5,37.5
70.28571428571429,0.6578671578947365,4192.0,18.0,11.0,7.8,40.7
71.32142857142858,0.6654458736842106,4332.0,18.0,11.0,3.1,37.5
72.35714285714288,0.6488224736842106,4142.0,18.0,11.0,1.6,34.4
73.39285714285717,0.6554239894736843,4155.0,18.0,11.0,4.7,28.200000000000003
74.42857142857146,0.6434124210526319,4180.0,18.0,11.0,9.4,43.2
75.46428571428575,0.6560176842105265,4212.0,19.0,11.0,6.2,25.0
76.50000000000004,0.6539133052631578,4205.0,18.0,11.0,7.8,34.4
77.53571428571433,0.6551311684210526,4146.0,18.0,12.0,0.0,32.8
78.57142857142863,0.648663852631579,4421.0,18.0,11.0,3.1,37.5
79.60714285714292,0.6383301789473679,4335.0,18.0,11.0,0.0,37.5
80.64285714285721,0.6910903999999999,4186.0,19.0,11.0,9.4,31.3
81.6785714285715,0.6541025894736839,4309.0,18.0,11.0,3.1,26.6
82.7142857142858,0.6408878842105264,4186.0,19.0,11.0,6.2,46.9
83.75000000000009,0.641618368421053,4195.0,19.0,11.0,1.6,35.9
84.78571428571438,0.6409280736842102,4146.0,18.0,11.0,3.1,36.9
85.82142857142867,0.6643462842105263,4263.0,19.0,11.0,1.6,23.5
86.85714285714296,0.6599345684210527,4126.0,18.0,11.0,3.1,31.3
87.89285714285725,0.655772642105263,4255.0,18.0,11.0,6.2,23.1
88.92857142857154,0.6557129263157895,4260.0,18.0,11.0,6.2,25.0
89.96428571428584,0.6466532631578946,4203.0,18.0,11.0,3.1,25.099999999999998
91.00000000000013,0.6627304631578947,4119.0,19.0,12.0,10.9,20.4
92.03571428571442,0.6456435789473687,4145.0,18.0,11.0,6.2,25.0
93.07142857142871,0.6371000421052632,4324.0,18.0,11.0,6.2,23.5
94.107142857143,0.6739658947368421,4155.0,17.0,11.0,1.6,28.1
95.1428571428573,0.6535782000000001,4303.0,18.0,11.0,9.4,23.4
96.17857142857159,0.6700024842105264,4259.0,18.0,11.0,9.4,24.8
97.21428571428588,0.6377599789473687,4332.0,18.0,11.0,9.4,20.400000000000002
98.25000000000017,0.6481928421052631,4265.0,18.0,11.0,7.8,26.3
99.28571428571446,0.6486233578947366,4168.0,18.0,11.0,1.6,20.3
100.32142857142875,0.6564871157894735,4217.0,18.0,12.0,7.8,23.5
101.35714285714305,0.6313275263157894,4166.0,18.0,11.0,4.7,20.3
102.39285714285734,0.6503252421052632,4173.0,18.0,11.0,3.1,25.0
103.42857142857163,0.6396367157894738,4132.0,18.0,11.0,3.1,26.200000000000003
104.46428571428592,0.6564831157894738,4197.0,18.0,12.0,1.6,28.1
105.50000000000021,0.6453418842105265,4231.0,18.0,12.0,6.2,23.5
106.5357142857145,0.6489980000000003,4284.0,18.0,11.0,7.8,23.5
107.5714285714288,0.6477345789473686,4315.0,19.0,11.0,1.6,29.8
108.60714285714309,0.6524966210526317,4161.0,18.0,11.0,4.7,23.5
109.64285714285738,0.6605077368421053,4176.0,18.0,11.0,4.7,23.4
110.67857142857167,0.6603107578947369,4135.0,18.0,11.0,6.2,29.700000000000003
111.71428571428596,0.6438017789473683,4184.0,18.0,11.0,0.0,23.4
112.75000000000026,0.6443046315789479,4228.0,19.0,11.0,4.7,26.6
113.78571428571455,0.6422685684210524,4201.0,18.0,11.0,1.6,25.0
114.82142857142884,0.6408635789473683,4277.0,18.0,11.0,6.2,28.1
115.85714285714313,0.6567236526315784,4172.0,18.0,11.0,1.6,29.700000000000003
116.89285714285742,0.6495537157894737,4112.0,18.0,11.0,3.1,23.1
117.92857142857171,0.6597012421052633,4147.0,18.0,11.0,3.1,32.800000000000004
118.964285714286,0.6397284842105262,4116.0,17.0,11.0,4.7,11.0
120.0000000000003,0.6473538631578948,10694.0,18.0,11.0,0,0
