Sec.,PowerMeter(ADC),PowerNvi,GPU-T,GPU-D,CPU-R,CPU-G
4,0.6268705684210525,10682.0,1.0,1.0,9.4,29.900000000000002
5.035714285714286,0.6367153368421052,5705.0,9.0,2.0,14.1,12.3
6.071428571428571,0.6616436947368423,3994.0,23.0,2.0,1.6,15.6
7.107142857142857,0.6181558736842107,4077.0,4.0,2.0,3.1,14.1
8.142857142857142,0.7824256315789476,3999.0,6.0,2.0,1.6,12.3
9.178571428571429,1.0589056315789473,4133.0,7.0,2.0,1.6,20.400000000000002
10.214285714285715,1.1768553789473684,4063.0,7.0,2.0,3.1,31.300000000000004
11.250000000000002,0.9326694105263155,3870.0,7.0,2.0,3.1,10.9
12.285714285714288,0.9690585157894746,4101.0,6.0,2.0,9.4,9.4
13.321428571428575,0.7945665052631579,4062.0,7.0,2.0,3.1,12.5
14.357142857142861,0.6867910842105261,3960.0,7.0,2.0,4.7,7.800000000000001
15.392857142857148,0.601236652631579,3941.0,7.0,2.0,1.6,7.8
16.428571428571434,0.6509820421052629,4067.0,7.0,2.0,3.1,10.9
17.46428571428572,0.6399379473684209,4098.0,6.0,2.0,1.6,4.7
18.500000000000004,0.6667545473684207,4001.0,7.0,2.0,6.2,7.800000000000001
19.53571428571429,0.6647682736842105,4003.0,7.0,2.0,4.7,12.3
20.571428571428573,0.6108453473684211,3958.0,6.0,2.0,4.7,15.6
21.607142857142858,0.6380599157894735,3961.0,6.0,2.0,4.7,9.4
22.642857142857142,0.669699694736842,4081.0,6.0,2.0,3.1,15.7
23.678571428571427,0.6396870842105264,4050.0,7.0,2.0,4.7,10.9
24.71428571428571,0.6106404842105265,4044.0,7.0,2.0,0.0,9.4
25.749999999999996,0.6375603368421053,4027.0,6.0,2.0,1.6,7.8
26.78571428571428,0.6229137157894741,3951.0,7.0,2.0,6.2,9.3
27.821428571428566,0.6535889052631579,3940.0,7.0,2.0,3.1,11.0
28.85714285714285,0.6105766631578947,4073.0,7.0,2.0,4.7,10.9
29.892857142857135,0.6404808421052632,4060.0,7.0,2.0,3.1,14.1
30.92857142857142,0.6181541473684208,3961.0,7.0,2.0,9.4,14.1
