Sec.,PowerMeter(ADC),PowerNvi,GPU-T,GPU-D,CPU-R,CPU-G
4,0.7463754526315791,3676.0,12.0,0.0,12.3,118.80000000000001
5.035714285714286,1.080495663157895,4085.0,12.0,0.0,10.9,75.0
6.071428571428571,0.7642224526315794,3917.0,12.0,0.0,6.2,65.6
7.107142857142857,0.7553595157894735,3871.0,14.0,0.0,14.1,57.8
8.142857142857142,0.8843017894736839,3964.0,12.0,0.0,9.4,65.6
9.178571428571429,0.7862596105263157,3900.0,12.0,0.0,17.2,70.39999999999999
10.214285714285715,0.7521586631578947,3967.0,12.0,0.0,12.5,53.2
11.250000000000002,0.7250851473684212,3923.0,12.0,0.0,7.8,50.0
12.285714285714288,0.7340047368421052,3837.0,13.0,0.0,7.8,56.2
13.321428571428575,0.7506275263157891,4083.0,12.0,0.0,7.8,64.0
14.357142857142861,0.7881477473684211,3853.0,13.0,0.0,14.1,51.6
15.392857142857148,0.7275108421052634,3850.0,13.0,0.0,10.9,48.4
16.428571428571434,0.7588269684210525,3905.0,13.0,0.0,10.9,56.2
17.46428571428572,0.7725980631578955,4069.0,12.0,0.0,6.2,53.1
18.500000000000004,0.74968192631579,4064.0,14.0,0.0,10.9,57.8
19.53571428571429,0.732969442105263,3781.0,13.0,0.0,10.9,59.4
20.571428571428573,0.7314017894736844,3890.0,13.0,0.0,9.4,53.1
21.607142857142858,0.7632059473684211,3841.0,11.0,0.0,9.4,54.7
22.642857142857142,0.7537721052631582,3697.0,12.0,0.0,7.8,56.2
23.678571428571427,0.7474051157894741,3899.0,13.0,0.0,12.5,56.300000000000004
24.71428571428571,0.7293665052631582,3820.0,12.0,0.0,4.7,59.4
25.749999999999996,0.7333807263157899,4081.0,13.0,0.0,9.4,56.2
26.78571428571428,0.7314922736842107,4041.0,13.0,0.0,12.5,59.4
27.821428571428566,0.7471060315789476,3696.0,12.0,0.0,9.4,60.0
28.85714285714285,0.7407098421052627,3957.0,12.0,0.0,15.6,53.1
29.892857142857135,0.7393451789473685,4019.0,12.0,0.0,14.1,51.6
30.92857142857142,0.7358687263157896,3753.0,12.0,0.0,37.5,57.8
31.964285714285705,0.7308386526315788,3832.0,12.0,0.0,6.2,63.2
32.99999999999999,0.732476263157895,3972.0,13.0,0.0,7.8,68.7
34.03571428571428,0.7714339157894737,4004.0,12.0,0.0,9.4,59.4
