Sec.,PowerMeter(ADC),PowerNvi,GPU-T,GPU-D,CPU-R,CPU-G
4,0.6522216947368422,5381.0,2.0,7.0,4.7,87.5
5.035714285714286,0.62386,5131.0,24.0,12.0,10.9,12.5
6.071428571428571,0.6664752947368421,4113.0,27.0,12.0,0.0,7.800000000000001
7.107142857142857,0.6398433368421054,4095.0,6.0,10.0,3.1,18.8
8.142857142857142,0.674895610526316,4068.0,6.0,10.0,0.0,9.4
9.178571428571429,0.6556519578947373,4094.0,6.0,10.0,1.6,10.9
10.214285714285715,0.6312278631578948,4111.0,6.0,10.0,1.6,23.5
11.250000000000002,0.6425393789473682,4121.0,6.0,10.0,7.8,7.9
12.285714285714288,0.6452724947368421,4054.0,6.0,10.0,3.1,3.1
13.321428571428575,0.6283619789473687,4151.0,6.0,10.0,0.0,3.1
14.357142857142861,0.6384134631578948,4120.0,6.0,10.0,7.8,9.4
15.392857142857148,0.6321529578947374,4173.0,6.0,10.0,6.2,7.8
16.428571428571434,0.6425921263157894,4096.0,6.0,10.0,1.6,4.7
17.46428571428572,0.6292650526315791,4087.0,6.0,10.0,0.0,14.1
18.500000000000004,0.6770130210526316,4026.0,6.0,10.0,1.6,12.5
19.53571428571429,0.6412351789473684,4028.0,6.0,9.0,4.7,6.2
20.571428571428573,0.6257974210526318,4124.0,6.0,10.0,7.8,25.0
21.607142857142858,0.6420116315789474,4100.0,6.0,10.0,0.0,17.2
22.642857142857142,0.6229657157894737,4135.0,6.0,11.0,1.6,12.5
23.678571428571427,0.6502390421052631,4133.0,6.0,10.0,4.6,12.5
24.71428571428571,0.6403839052631578,4168.0,6.0,10.0,1.6,3.1
25.749999999999996,0.6521399578947369,4076.0,6.0,10.0,1.6,6.2
26.78571428571428,0.6265590105263158,4117.0,6.0,10.0,4.7,9.4
27.821428571428566,0.6664139473684212,4160.0,6.0,10.0,3.1,9.4
28.85714285714285,0.6833621684210531,4107.0,6.0,11.0,1.6,6.2
29.892857142857135,0.6425733684210524,4171.0,6.0,9.0,3.1,9.3
30.92857142857142,0.637933052631579,4173.0,6.0,10.0,9.4,10.9
31.964285714285705,0.6309153473684214,4057.0,6.0,11.0,4.7,7.8
32.99999999999999,0.6368142210526319,4045.0,6.0,10.0,3.1,12.5
34.03571428571428,0.6396067368421049,4154.0,6.0,10.0,3.1,21.9
35.07142857142856,0.6347723578947365,4200.0,6.0,10.0,1.6,11.0
36.10714285714285,0.6519773999999997,4115.0,6.0,11.0,1.6,1.6
37.14285714285713,0.632921252631579,4103.0,6.0,11.0,0.0,6.2
38.178571428571416,0.683242473684211,4176.0,6.0,10.0,18.8,7.8
39.2142857142857,0.6442728421052633,4108.0,6.0,10.0,1.5,10.9
40.249999999999986,0.6246354736842105,4123.0,6.0,10.0,12.5,17.200000000000003
41.28571428571427,0.6331838526315792,4084.0,6.0,10.0,3.1,6.2
42.321428571428555,0.630345631578947,4156.0,6.0,11.0,1.6,4.7
43.35714285714284,0.6392277368421052,4169.0,6.0,10.0,1.6,12.5
44.392857142857125,0.6370726210526314,4101.0,6.0,10.0,1.6,10.9
45.42857142857141,0.6263116631578947,4067.0,6.0,10.0,0.0,12.5
46.464285714285694,0.6417435052631583,4169.0,6.0,10.0,4.7,6.2
47.49999999999998,0.6417916631578947,4135.0,6.0,10.0,3.1,1.6
48.53571428571426,0.6890364315789473,4184.0,6.0,10.0,0.0,4.7
49.57142857142855,0.6397795263157896,4154.0,6.0,10.0,6.2,11.0
50.60714285714283,0.6413165263157897,4138.0,6.0,10.0,10.9,15.600000000000001
51.64285714285712,0.6342986526315793,4100.0,6.0,10.0,4.7,14.1
52.6785714285714,0.6426135789473684,4176.0,6.0,10.0,3.1,9.4
53.71428571428569,0.6195957368421052,4124.0,6.0,10.0,3.1,7.8
54.74999999999997,0.6353536631578945,4152.0,6.0,10.0,1.6,7.8
55.785714285714256,0.6452388842105263,4109.0,6.0,10.0,0.0,17.2
56.82142857142854,0.6312393157894737,4127.0,6.0,10.0,1.5,15.6
57.857142857142826,0.6441730631578949,4042.0,6.0,10.0,3.1,7.7
58.89285714285711,0.655229642105263,4140.0,6.0,10.0,1.6,1.6
59.928571428571395,0.6325322842105261,4146.0,6.0,10.0,4.7,17.1
60.96428571428568,0.638600452631579,4170.0,6.0,10.0,3.1,4.7
61.999999999999964,0.6719140421052633,4043.0,6.0,11.0,0.0,7.8
63.03571428571425,0.6585891999999999,4098.0,6.0,10.0,0.0,14.1
64.07142857142854,0.6293406842105264,4036.0,6.0,10.0,31.3,10.9
65.10714285714283,0.6313660105263156,4031.0,6.0,10.0,1.6,9.4
66.14285714285712,0.6403894842105261,4066.0,6.0,10.0,3.1,1.6
67.17857142857142,0.6192324315789477,4070.0,6.0,10.0,3.1,4.7
68.21428571428571,0.6781549473684211,4170.0,6.0,10.0,1.6,7.8
69.25,0.6346114421052628,4147.0,6.0,10.0,3.1,11.0
70.28571428571429,0.6469495473684207,4116.0,6.0,11.0,12.5,23.4
71.32142857142858,0.636711989473684,4067.0,6.0,10.0,6.2,3.1
72.35714285714288,0.6292365789473685,4107.0,6.0,10.0,3.1,4.7
73.39285714285717,0.6551125578947365,4115.0,6.0,10.0,0.0,14.1
74.42857142857146,0.6383184105263159,4043.0,7.0,10.0,3.1,12.5
75.46428571428575,0.6435342631578946,4065.0,6.0,10.0,4.7,12.5
76.50000000000004,0.6264806947368422,4124.0,6.0,11.0,1.6,3.1
77.53571428571433,0.654342789473684,4120.0,6.0,10.0,0.0,1.6
78.57142857142863,0.6672258000000003,4151.0,6.0,10.0,1.6,7.8
79.60714285714292,0.6303344947368421,4145.0,6.0,9.0,0.0,7.800000000000001
80.64285714285721,0.644567610526316,3847.0,6.0,9.0,7.8,18.7
81.6785714285715,0.6343818631578946,4094.0,7.0,10.0,0.0,12.5
82.7142857142858,0.6440798421052633,4116.0,6.0,10.0,1.6,7.8
83.75000000000009,0.6511775157894736,4096.0,6.0,10.0,3.1,9.4
84.78571428571438,0.6171567052631582,4020.0,6.0,10.0,1.6,7.8
85.82142857142867,0.6509664105263155,4115.0,6.0,10.0,1.6,4.7
86.85714285714296,0.6341759684210525,4093.0,6.0,10.0,6.2,10.9
87.89285714285725,0.6700153157894735,4102.0,6.0,10.0,1.6,7.8
88.92857142857154,0.6388106315789472,4095.0,6.0,10.0,1.6,14.1
89.96428571428584,0.6307991578947365,4138.0,6.0,10.0,12.5,17.0
91.00000000000013,0.665688705263158,3993.0,6.0,10.0,6.2,7.7
92.03571428571442,0.6415988526315791,4088.0,6.0,11.0,0.0,10.9
93.07142857142871,0.6482055894736843,4128.0,6.0,10.0,0.0,12.5
94.107142857143,0.6201352947368424,4068.0,6.0,10.0,3.1,9.4
95.1428571428573,0.6428978736842105,4026.0,6.0,10.0,3.1,4.7
96.17857142857159,0.6298422736842103,4186.0,6.0,10.0,1.6,1.6
97.21428571428588,0.6450745473684208,4085.0,6.0,10.0,3.1,6.2
98.25000000000017,0.675645968421053,4077.0,6.0,10.0,0.0,10.9
99.28571428571446,0.6371446315789473,4089.0,6.0,10.0,7.8,14.1
100.32142857142875,0.655872547368421,4069.0,6.0,10.0,3.1,14.1
101.35714285714305,0.6370820315789475,4094.0,6.0,11.0,3.1,6.2
102.39285714285734,0.6307302315789474,4031.0,6.0,10.0,6.2,3.1
103.42857142857163,0.6565204105263157,4101.0,6.0,10.0,0.0,4.7
104.46428571428592,0.6353334105263156,4228.0,6.0,10.0,0.0,3.1
105.50000000000021,0.6470792736842101,4035.0,6.0,11.0,1.5,15.6
