Sec.,PowerMeter(ADC),PowerNvi,GPU-T,GPU-D,CPU-R,CPU-G
4,0.9374214210526318,11128.0,4.0,30.0,1.6,76.6
5.035714285714286,1.0431804947368415,6171.0,3.0,27.0,9.2,73.49999999999999
6.071428571428571,0.9300739263157898,11072.0,23.0,39.0,6.2,26.6
7.107142857142857,0.9426733368421046,11045.0,18.0,33.0,9.4,26.6
8.142857142857142,0.9392414421052627,11119.0,3.0,26.0,9.4,34.4
9.178571428571429,0.837684136842105,5762.0,12.0,37.0,6.2,42.1
10.214285714285715,0.7139446736842103,5276.0,19.0,45.0,1.6,43.800000000000004
11.250000000000002,0.7457009052631579,4821.0,19.0,46.0,4.7,32.9
12.285714285714288,0.7195990947368419,4916.0,19.0,46.0,6.2,42.2
13.321428571428575,0.6909232736842106,5002.0,19.0,46.0,4.7,34.4
14.357142857142861,0.6970717894736843,5274.0,19.0,43.0,12.5,37.6
15.392857142857148,0.729045147368421,5247.0,19.0,42.0,6.2,21.900000000000002
16.428571428571434,0.7168400842105261,5192.0,19.0,40.0,9.4,23.4
17.46428571428572,0.7448345052631579,5124.0,19.0,40.0,6.2,28.1
18.500000000000004,0.740730642105263,11107.0,20.0,41.0,6.2,26.6
19.53571428571429,0.9146079999999994,11145.0,5.0,32.0,1.6,15.6
20.571428571428573,0.9266989473684212,11198.0,3.0,26.0,6.2,20.400000000000002
21.607142857142858,0.9166881789473683,5878.0,3.0,26.0,6.2,20.3
22.642857142857142,0.7424406631578943,5071.0,11.0,40.0,3.1,20.3
23.678571428571427,0.7087664210526315,5054.0,16.0,49.0,4.7,18.8
24.71428571428571,0.7210458315789472,5088.0,17.0,49.0,3.1,28.200000000000003
25.749999999999996,0.6945011894736844,5042.0,18.0,49.0,1.6,20.3
26.78571428571428,0.7017273263157895,4969.0,17.0,49.0,3.1,18.8
27.821428571428566,0.6992747157894736,5050.0,18.0,49.0,6.2,23.5
28.85714285714285,0.7133624736842106,4966.0,17.0,49.0,4.7,26.6
29.892857142857135,0.7023251473684209,5027.0,17.0,50.0,15.6,23.400000000000002
30.92857142857142,0.7076819368421053,5061.0,17.0,49.0,20.3,20.400000000000002
31.964285714285705,0.7223242421052629,5077.0,17.0,47.0,4.7,26.6
32.99999999999999,0.7200923157894733,5034.0,17.0,47.0,0.0,17.2
34.03571428571428,0.706049705263158,5109.0,17.0,47.0,3.1,39.1
35.07142857142856,0.6940976105263157,5101.0,17.0,48.0,4.7,20.3
36.10714285714285,0.7034422736842104,5156.0,17.0,47.0,7.8,25.0
37.14285714285713,0.7160205368421054,5075.0,18.0,48.0,7.8,31.3
38.178571428571416,0.6965799578947371,5015.0,17.0,48.0,4.7,29.700000000000003
39.2142857142857,0.7058550526315787,5023.0,17.0,47.0,4.7,29.700000000000003
40.249999999999986,0.7094985684210522,5013.0,18.0,48.0,4.7,31.3
41.28571428571427,0.7112997473684212,5056.0,17.0,47.0,7.8,32.9
42.321428571428555,0.7149391263157889,5040.0,17.0,48.0,4.7,23.5
43.35714285714284,0.7125691789473682,5002.0,17.0,47.0,3.1,29.700000000000003
44.392857142857125,0.7048886421052634,5060.0,17.0,47.0,9.4,23.500000000000004
45.42857142857141,0.7106705789473683,5037.0,18.0,48.0,6.2,25.0
46.464285714285694,0.7000164842105264,5030.0,17.0,47.0,6.2,25.0
47.49999999999998,0.6939876736842107,5029.0,17.0,47.0,4.7,26.6
48.53571428571426,0.7169749684210528,5021.0,18.0,48.0,1.6,23.4
49.57142857142855,0.683110452631579,5023.0,17.0,47.0,4.7,21.900000000000002
50.60714285714283,0.7022477789473687,5053.0,18.0,48.0,3.1,21.900000000000002
51.64285714285712,0.7089601368421055,5041.0,17.0,47.0,7.8,28.1
52.6785714285714,0.7150199052631581,5070.0,17.0,47.0,3.1,21.9
53.71428571428569,0.7126693684210521,4998.0,18.0,48.0,6.2,18.8
54.74999999999997,0.7024262631578947,5033.0,17.0,48.0,7.8,20.400000000000002
55.785714285714256,0.7061001473684207,4985.0,17.0,47.0,4.7,12.5
56.82142857142854,0.689738621052632,5105.0,17.0,47.0,4.7,29.700000000000003
57.857142857142826,0.6940105894736843,4989.0,18.0,48.0,1.6,20.3
58.89285714285711,0.6992521894736842,5084.0,17.0,48.0,3.1,29.700000000000003
59.928571428571395,0.715421694736842,5063.0,17.0,48.0,7.8,21.700000000000003
