Sec.,PowerMeter(ADC),PowerNvi,GPU-T,GPU-D,CPU-R,CPU-G
4,4.533313723404256,5762.0,1.0,2.0,10.9,15.6
5.035714285714286,3.740225319148934,4561.0,12.0,4.0,3.1,10.9
6.071428571428571,1.6220816489361694,4116.0,22.0,6.0,3.1,9.3
7.107142857142857,0.7351638829787231,4010.0,4.0,3.0,3.1,4.7
8.142857142857142,0.7048126382978724,3999.0,6.0,3.0,0.0,4.7
9.178571428571429,0.7027151702127659,4106.0,7.0,3.0,1.5,3.1
10.214285714285715,0.7519614255319149,4033.0,7.0,3.0,0.0,9.4
11.250000000000002,0.7468889042553194,4123.0,7.0,3.0,1.6,12.5
12.285714285714288,0.7589726914893622,4161.0,6.0,3.0,1.6,17.2
13.321428571428575,0.7125676914893617,4068.0,7.0,3.0,0.0,4.7
14.357142857142861,0.7065632978723407,4007.0,7.0,3.0,1.6,6.2
15.392857142857148,0.7422546595744683,4127.0,7.0,3.0,7.8,9.4
16.428571428571434,0.7422116808510637,4115.0,6.0,3.0,4.7,1.6
17.46428571428572,0.7216097659574466,4174.0,6.0,3.0,3.1,10.9
18.500000000000004,0.758832872340425,4123.0,7.0,3.0,0.0,6.2
19.53571428571429,0.6881981276595743,4076.0,7.0,3.0,0.0,9.3
20.571428571428573,0.7654584787234046,4126.0,7.0,3.0,1.6,9.4
21.607142857142858,0.6705746489361702,4106.0,7.0,3.0,3.1,9.4
22.642857142857142,0.7033845851063834,4174.0,7.0,3.0,9.4,7.800000000000001
23.678571428571427,0.7891185212765961,4093.0,6.0,3.0,0.0,3.1
24.71428571428571,0.7217825106382977,4134.0,7.0,3.0,1.6,12.5
25.749999999999996,0.7197394574468083,4122.0,7.0,3.0,0.0,9.4
26.78571428571428,0.689842585106383,4156.0,7.0,3.0,0.0,7.8
27.821428571428566,0.7042012659574473,4063.0,7.0,3.0,0.0,9.4
28.85714285714285,0.6925705106382974,4023.0,7.0,3.0,3.1,4.7
29.892857142857135,0.7334352127659576,4071.0,6.0,3.0,1.6,9.4
30.92857142857142,0.7079283510638297,4023.0,7.0,3.0,4.7,3.1
31.964285714285705,0.7183580957446806,4009.0,7.0,3.0,1.6,4.7
32.99999999999999,0.7087001382978724,4081.0,7.0,3.0,0.0,4.7
34.03571428571428,0.6861787021276592,4045.0,6.0,3.0,1.6,6.2
35.07142857142856,0.7599419574468088,4025.0,7.0,3.0,3.1,10.9
36.10714285714285,0.7125102765957445,4076.0,7.0,3.0,0.0,14.1
37.14285714285713,0.704056670212766,4129.0,6.0,3.0,7.8,6.2
38.178571428571416,0.7180267234042549,4033.0,7.0,3.0,0.0,10.9
