Sec.,PowerMeter(ADC),PowerNvi,GPU-T,GPU-D,CPU-R,CPU-G
4,0.6991020000000001,6145.0,5.0,27.0,6.2,31.2
5.035714285714286,0.7261329680851066,5128.0,35.0,39.0,3.1,15.7
6.071428571428571,0.699465659574468,4878.0,10.0,34.0,3.1,20.4
7.107142857142857,0.7102895425531917,4740.0,10.0,35.0,1.5,10.9
8.142857142857142,0.76220820212766,4971.0,11.0,35.0,0.0,6.2
9.178571428571429,0.6989681489361704,4760.0,11.0,34.0,0.0,6.300000000000001
10.214285714285715,0.6978329255319149,4639.0,11.0,34.0,0.0,3.1
11.250000000000002,0.6874712340425533,4641.0,11.0,34.0,4.7,4.7
12.285714285714288,0.6801569574468087,4640.0,11.0,35.0,1.6,4.7
13.321428571428575,0.7784907765957451,5161.0,11.0,38.0,0.0,10.9
14.357142857142861,0.682906872340426,4822.0,11.0,38.0,4.7,6.2
15.392857142857148,0.6997667446808508,4900.0,11.0,38.0,1.5,6.2
16.428571428571434,0.700696446808511,4929.0,11.0,38.0,0.0,15.6
17.46428571428572,0.6900291808510639,4999.0,11.0,37.0,0.0,4.7
18.500000000000004,0.6706619042553189,4939.0,11.0,37.0,3.1,15.600000000000001
19.53571428571429,0.7730235957446812,4553.0,11.0,38.0,1.6,9.4
20.571428571428573,0.7042264893617021,4621.0,11.0,38.0,0.0,4.7
21.607142857142858,0.700938414893617,4745.0,11.0,38.0,3.1,6.2
22.642857142857142,0.6826079574468086,4837.0,11.0,38.0,3.1,4.7
23.678571428571427,0.6919681702127659,4793.0,11.0,37.0,1.6,7.8
24.71428571428571,0.6978690212765956,4790.0,11.0,37.0,10.9,4.7
25.749999999999996,0.8024885106382983,4908.0,11.0,37.0,3.1,12.5
26.78571428571428,0.7040056489361702,4915.0,11.0,39.0,4.7,10.9
27.821428571428566,0.6969812446808518,4947.0,11.0,36.0,1.6,12.5
28.85714285714285,0.7124929787234041,4801.0,11.0,34.0,0.0,4.7
29.892857142857135,0.700385319148936,4721.0,11.0,34.0,3.1,14.0
30.92857142857142,0.7580013297872337,4851.0,11.0,35.0,6.2,17.2
31.964285714285705,0.702462319148936,4933.0,11.0,34.0,1.6,7.8
32.99999999999999,0.7198396808510638,4898.0,11.0,36.0,15.6,7.8
34.03571428571428,0.6959223085106386,4859.0,11.0,35.0,1.6,4.7
35.07142857142856,0.701078212765957,4808.0,11.0,35.0,3.1,4.7
36.10714285714285,0.7034631276595746,4960.0,11.0,34.0,3.1,7.800000000000001
37.14285714285713,0.7775619255319148,4907.0,11.0,35.0,3.1,6.2
38.178571428571416,0.7261353297872336,4722.0,11.0,36.0,1.6,4.7
39.2142857142857,0.7083283297872343,4713.0,11.0,34.0,0.0,9.4
40.249999999999986,0.6956101702127657,4713.0,11.0,34.0,1.6,12.5
41.28571428571427,0.6913744255319149,4842.0,11.0,34.0,0.0,9.4
42.321428571428555,0.686853574468085,4869.0,11.0,34.0,4.7,10.9
43.35714285714284,0.777400989361702,4827.0,11.0,34.0,0.0,4.7
44.392857142857125,0.6935990744680851,4686.0,11.0,34.0,0.0,4.6
45.42857142857141,0.7039702340425532,4731.0,11.0,34.0,3.1,4.7
