Sec.,PowerMeter(ADC),PowerNvi,GPU-T,GPU-D,CPU-R,CPU-G
4,0.9533098526315791,6561.0,2.0,0.0,51.6,26.3
5.035714285714286,0.7558354210526315,3870.0,16.0,0.0,18.8,11.0
6.071428571428571,0.6959926210526318,3845.0,20.0,0.0,45.3,11.5
7.107142857142857,0.6728159263157895,3893.0,7.0,0.0,59.4,9.4
8.142857142857142,0.6779692526315789,3899.0,8.0,0.0,40.6,9.4
9.178571428571429,0.6869008421052631,3930.0,10.0,0.0,35.9,6.300000000000001
10.214285714285715,0.7222021368421052,3850.0,9.0,0.0,60.9,11.0
11.250000000000002,0.6849945894736839,3897.0,10.0,0.0,78.1,7.800000000000001
12.285714285714288,0.6910131684210526,3943.0,10.0,0.0,53.1,9.4
13.321428571428575,0.6921975578947369,3935.0,9.0,0.0,31.3,7.8
14.357142857142861,0.693846210526316,4015.0,10.0,0.0,43.8,10.9
15.392857142857148,0.6732506947368418,4035.0,10.0,0.0,60.9,7.8
16.428571428571434,0.6789358736842103,3982.0,10.0,0.0,71.9,9.4
17.46428571428572,0.6839654105263152,3888.0,10.0,0.0,56.2,4.6
18.500000000000004,0.6806199684210523,3941.0,10.0,0.0,66.2,6.300000000000001
19.53571428571429,0.6593423999999999,3887.0,10.0,0.0,34.4,3.1
20.571428571428573,0.6708017789473681,3941.0,10.0,0.0,48.4,6.300000000000001
21.607142857142858,0.7026576631578948,3981.0,10.0,0.0,60.9,10.9
22.642857142857142,0.6708267473684211,3946.0,10.0,0.0,50.0,9.4
23.678571428571427,0.6899468421052631,3925.0,10.0,0.0,39.1,9.4
24.71428571428571,0.6756637473684208,4005.0,10.0,0.0,65.6,7.8
25.749999999999996,0.6862842210526311,4005.0,10.0,0.0,50.0,9.4
26.78571428571428,0.6863555473684212,3956.0,10.0,0.0,39.1,6.300000000000001
27.821428571428566,0.6744271052631581,3981.0,10.0,0.0,56.2,9.4
28.85714285714285,0.6733234736842104,3924.0,9.0,0.0,60.9,10.9
29.892857142857135,0.6909452210526318,3949.0,9.0,0.0,51.6,11.0
30.92857142857142,0.6885176947368421,4017.0,10.0,0.0,65.6,6.300000000000001
